KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05003759 : Maiden Newton,"2,081","2,051",12,3
E05003760 : Marshwood Vale,"1,717","1,696",7,0
E05003761 : Netherbury,"2,080","2,048",12,1
E05003762 : Owermoigne,"3,804","3,752",17,3
E05003763 : Piddle Valley,"1,988","1,954",19,3
E05003764 : Puddletown,"2,437","2,403",11,0
E05003765 : Queen Thorne,"2,011","1,995",7,3
E05003766 : Sherborne East,"4,422","4,232",139,12
E05003767 : Sherborne West,"5,101","4,886",118,24
E05003768 : Winterborne St Martin,"2,095","2,074",14,0
E05003769 : Yetminster,"1,564","1,551",6,1
E05003770 : Littlemoor,"3,688","3,630",23,5
E05003771 : Melcombe Regis,"5,878","5,620",138,29
E05003772 : Preston,"4,830","4,769",38,2
E05003773 : Radipole,"3,811","3,705",62,7
E05003774 : Tophill East,"3,656","3,483",23,74
E05003775 : Tophill West,"5,175","5,103",10,10
E05003776 : Underhill,"4,013","3,752",33,146
E05003777 : Upwey and Broadwey,"3,628","3,565",38,2
E05003778 : Westham East,"3,783","3,696",31,6
E05003779 : Westham North,"5,265","5,131",71,6
E05003780 : Westham West,"3,682","3,609",34,5
E05003781 : Wey Valley,"3,404","3,352",22,4
E05003782 : Weymouth East,"3,592","3,460",65,13
E05003783 : Weymouth West,"5,191","5,103",21,7
E05003784 : Wyke Regis,"5,571","5,502",31,5
E05004288 : All Saints,"5,394","5,014",209,46
E05004289 : Battledown,"5,460","5,243",104,15
E05004290 : Benhall and The Reddings,"5,071","4,913",82,10
E05004291 : Charlton Kings,"5,628","5,433",80,28
E05004292 : Charlton Park,"4,851","4,701",67,8
E05004293 : College,"5,951","5,573",193,43
E05004294 : Hesters Way,"6,902","6,472",229,44
E05004295 : Lansdown,"5,923","5,283",356,95
E05004296 : Leckhampton,"5,275","5,100",88,9
E05004297 : Oakley,"5,731","5,417",162,34
E05004298 : Park,"6,689","6,297",226,62
E05004299 : Pittville,"5,327","5,026",169,33
E05004300 : Prestbury,"5,165","5,024",66,15
E05004301 : St Mark's,"6,108","5,777",156,30
E05004302 : St Paul's,"6,403","5,754",400,69
E05004303 : St Peter's,"6,834","6,171",439,65
E05004304 : Springbank,"6,536","6,195",152,61
E05004305 : Swindon Village,"5,700","5,307",271,25
E05004306 : Up Hatherley,"5,316","5,115",100,18
E05004307 : Warden Hill,"5,468","5,269",126,11
E05004308 : Ampney-Coln,"1,884","1,836",9,8
E05004309 : Avening,"1,930","1,896",10,1
E05004310 : Beacon-Stow,"3,365","3,298",25,4
E05004311 : Blockley,"2,041","2,021",7,4
E05004312 : Bourton-on-the-Water,"3,676","3,595",34,7
E05004313 : Campden-Vale,"5,888","5,813",34,10
E05004314 : Chedworth,"1,705","1,692",3,3
E05004315 : Churn Valley,"1,970","1,893",43,6
E05004316 : Cirencester Beeches,"4,072","3,985",49,7
E05004317 : Cirencester Chesterton,"3,779","3,689",47,18
E05004318 : Cirencester Park,"3,296","3,162",61,22
E05004319 : Cirencester Stratton-Whiteway,"3,614","3,546",21,7
E05004320 : Cirencester Watermoor,"4,315","4,129",96,32
E05004321 : Ermin,"1,793","1,766",10,2
E05004322 : Fairford,"4,031","3,950",32,4
E05004323 : Fosseridge,"1,794","1,769",13,1
E05004324 : Grumbolds Ash,"1,887","1,846",17,2
E05004325 : Hampton,"1,789","1,763",12,2
E05004326 : Kempsford-Lechlade,"3,973","3,891",33,20
E05004327 : Moreton-in-Marsh,"3,493","3,444",22,5
E05004328 : Northleach,"1,854","1,828",7,7
E05004329 : Rissingtons,"2,103","2,050",33,2
E05004330 : Riversmeet,"1,766","1,733",8,1
E05004331 : Sandywell,"1,829","1,799",9,3
E05004332 : Tetbury,"5,472","5,349",64,10
E05004333 : Thames Head,"1,955","1,910",19,5
E05004334 : Three Rivers,"1,900","1,853",25,3
E05004335 : Water Park,"5,707","5,569",51,33
"E05004336 : Alvington, Aylburton and West Lydney","3,094","3,058",9,4
E05004337 : Awre,"1,714","1,697",5,1
E05004338 : Berry Hill,"1,652","1,635",8,2
E05004339 : Blaisdon and Longhope,"1,754","1,714",17,1
E05004340 : Bream,"3,171","3,138",8,13
E05004341 : Bromesberrow and Dymock,"1,901","1,885",7,1
E05004342 : Christchurch and English Bicknor,"1,520","1,502",6,8
E05004343 : Churcham and Huntley,"1,760","1,739",8,6
E05004344 : Cinderford East,"3,545","3,475",45,8
E05004345 : Cinderford West,"4,949","4,849",49,20
E05004346 : Coleford Central,"3,072","3,012",45,4
E05004347 : Coleford East,"5,287","5,231",29,3
E05004348 : Hartpury,"2,496","2,433",23,17
E05004349 : Hewelsfield and Woolaston,"1,690","1,663",5,6
E05004350 : Littledean and Ruspidge,"3,768","3,713",28,5
E05004351 : Lydbrook and Ruardean,"4,819","4,770",10,6
E05004352 : Lydney East,"5,047","4,999",16,5
E05004353 : Lydney North,"1,852","1,824",3,1
E05004354 : Mitcheldean and Drybrook,"4,607","4,560",19,4
E05004355 : Newent Central,"3,767","3,698",19,4
E05004356 : Newland and St Briavels,"3,297","3,247",11,3
E05004357 : Newnham and Westbury,"3,088","3,039",14,3
E05004358 : Oxenhall and Newent North East,"1,583","1,549",11,5
E05004359 : Pillowell,"3,522","3,492",9,3
E05004360 : Redmarley,"1,856","1,838",8,2
E05004361 : Tibberton,"1,664","1,643",6,0
E05004362 : Tidenham,"5,486","5,296",55,64
E05004363 : Abbey,"9,495","8,933",180,178
E05004364 : Barnwood,"10,317","9,459",260,216
E05004365 : Barton and Tredworth,"10,953","6,419","2,896",977
E05004366 : Elmbridge,"5,776","5,436",138,71
E05004367 : Grange,"5,839","5,606",51,73
E05004368 : Hucclecote,"8,826","8,413",142,83
E05004369 : Kingsholm and Wotton,"7,411","6,360",587,228
E05004370 : Longlevens,"9,532","9,086",217,64
E05004371 : Matson and Robinswood,"10,277","9,211",252,413
E05004372 : Moreland,"10,253","9,005",412,411
E05004373 : Podsmead,"2,994","2,698",42,141
E05004374 : Quedgeley Fieldcourt,"10,421","9,724",171,212
E05004375 : Quedgeley Severn Vale,"7,098","6,730",103,90
E05004376 : Tuffley,"5,889","5,521",87,112
E05004377 : Westgate,"6,607","5,861",301,217
E05004378 : Amberley and Woodchester,"2,116","2,102",3,0
E05004379 : Berkeley,"4,181","4,111",25,2
E05004380 : Bisley,"2,142","2,118",12,2
E05004381 : Cainscross,"7,316","7,157",48,17
E05004382 : Cam East,"4,134","4,060",25,8
E05004383 : Cam West,"4,028","3,969",5,8
E05004384 : Central,"2,150","2,077",22,9
E05004385 : Chalford,"6,509","6,417",21,9
E05004386 : Coaley and Uley,"2,299","2,274",8,1
E05004387 : Dursley,"6,697","6,528",48,32
E05004388 : Eastington and Standish,"1,794","1,767",14,0
E05004389 : Farmhill and Paganhill,"2,166","2,118",8,6
E05004390 : Hardwicke,"4,783","4,677",29,21
E05004391 : Kingswood,"2,096","2,064",11,1
E05004392 : Minchinhampton,"4,357","4,285",29,4
E05004393 : Nailsworth,"6,614","6,438",63,15
"E05004394 : Randwick, Whiteshill and Ruscombe","1,747","1,707",11,4
E05004395 : Painswick,"4,158","4,099",24,2
E05004396 : Rodborough,"4,543","4,415",27,14
E05004397 : Severn,"4,760","4,699",20,5
E05004398 : Slade,"2,141","2,075",11,16
E05004399 : Stonehouse,"7,725","7,497",95,26
E05004400 : The Stanleys,"3,960","3,912",14,3
E05004401 : Thrupp,"2,327","2,296",8,0
E05004402 : Trinity,"2,150","2,077",20,6
E05004403 : Uplands,"2,215","2,160",24,8
E05004404 : Upton St Leonards,"2,845","2,743",32,18
E05004405 : Vale,"1,879","1,857",6,1
E05004406 : Valley,"2,437","2,340",28,14
E05004407 : Wotton-under-Edge,"6,510","6,387",60,8
E05004408 : Ashchurch with Walton Cardiff,"4,534","4,421",40,22
E05008563 : Badgeworth,"2,124","2,098",11,1
E05008564 : Brockworth,"7,387","7,119",108,45
E05008565 : Churchdown Brookfield,"4,098","4,006",32,18
E05004412 : Churchdown St John's,"6,892","6,690",78,32
E05008566 : Cleeve Grange,"2,009","1,941",49,5
E05008567 : Cleeve Hill,"4,204","4,100",49,4
E05008568 : Cleeve St Michael's,"4,248","4,141",55,12
E05004416 : Cleeve West,"4,355","4,223",77,9
E05008569 : Coombe Hill,"4,545","4,468",35,2
E05004418 : Highnam with Haw Bridge,"4,206","4,140",31,2
E05008570 : Hucclecote,"1,332","1,275",24,19
E05004420 : Innsworth with Down Hatherley,"2,887","2,708",67,46
E05008571 : Isbourne,"1,955","1,936",11,0
E05004422 : Northway,"5,080","4,962",49,15
E05008572 : Oxenton Hill,"1,592","1,559",17,0
E05008573 : Shurdington,"1,936","1,875",33,3
E05004425 : Tewkesbury Newtown,"1,969","1,937",11,3
E05008574 : Tewkesbury Prior's Park,"4,094","3,994",42,4
E05004427 : Tewkesbury Town with Mitton,"4,533","4,458",35,3
E05004428 : Twyning,"1,668","1,641",7,0
E05008575 : Winchcombe,"6,295","6,209",40,10
E05006760 : Ammerdown,"2,371","2,324",13,1
"E05006761 : Ashwick, Chilcompton and Stratton","4,835","4,740",33,10
E05006762 : Beckington and Selwood,"2,125","2,093",8,6
E05006763 : Butleigh and Baltonsborough,"2,198","2,179",6,1
E05006764 : Chewton Mendip and Ston Easton,"2,147","2,117",5,6
E05006765 : Coleford and Holcombe,"4,700","4,653",11,9
"E05006766 : Cranmore, Doulting and Nunney","2,374","2,346",5,7
E05006767 : Creech,"2,334","2,290",31,1
E05006768 : Croscombe and Pilton,"2,284","2,260",9,1
E05006769 : Frome Berkley Down,"4,235","4,175",32,6
E05006770 : Frome College,"4,496","4,422",35,4
E05006771 : Frome Keyford,"4,959","4,819",45,20
E05006772 : Frome Market,"4,846","4,660",89,17
E05006773 : Frome Oakfield,"2,927","2,884",8,7
E05006774 : Frome Park,"4,740","4,665",40,7
E05006775 : Glastonbury St Benedict's,"2,406","2,341",30,3
E05006776 : Glastonbury St Edmund's,"2,248","2,189",21,6
E05006777 : Glastonbury St John's,"2,220","2,167",12,2
E05006778 : Glastonbury St Mary's,"2,058","2,018",12,3
E05006779 : Moor,"2,540","2,517",6,0
E05006780 : Postlebury,"2,061","2,034",12,3
E05006781 : Rode and Norton St Philip,"2,227","2,193",4,7
E05006782 : Rodney and Westbury,"2,127","2,116",1,0
E05006783 : St Cuthbert Out North,"2,421","2,382",13,1
E05006784 : Shepton East,"5,493","5,351",65,19
E05006785 : Shepton West,"4,876","4,797",36,4
E05006786 : Street North,"4,157","4,040",61,3
E05006787 : Street South,"5,589","5,331",120,35
E05006788 : Street West,"2,059","2,034",11,2
E05006789 : The Pennards and Ditcheat,"2,180","2,157",1,3
E05006790 : Wells Central,"1,961","1,914",21,1
E05006791 : Wells St Cuthbert's,"4,360","4,275",52,4
E05006792 : Wells St Thomas',"4,215","4,089",71,11
E05006793 : Wookey and St Cuthbert Out West,"2,510","2,485",10,0
E05008893 : Axevale,"4,261","4,180",32,3
E05008894 : Berrow,"2,169","2,138",8,1
E05008895 : Bridgwater Dunwear,"4,722","4,645",36,1
E05008896 : Bridgwater Eastover,"4,633","4,498",59,14
E05008897 : Bridgwater Fairfax,"7,766","7,661",33,6
E05008898 : Bridgwater Hamp,"5,272","5,192",29,5
E05008899 : Bridgwater Victoria,"6,281","6,147",62,9
E05008900 : Bridgwater Westover,"5,471","5,324",63,16
E05008901 : Bridgwater Wyndham,"4,241","4,173",42,2
E05008902 : Burnham Central,"7,182","7,025",86,18
E05008903 : Burnham North,"6,419","6,316",42,13
E05008904 : Cannington and Wembdon,"4,507","4,457",11,0
E05008905 : Cheddar and Shipham,"6,842","6,746",48,2
E05008906 : East Polden,"2,130","2,114",3,1
E05008907 : Highbridge and Burnham Marine,"7,555","7,406",72,9
E05008908 : Huntspill and Pawlett,"2,171","2,156",2,0
E05008909 : King's Isle,"4,506","4,454",13,2
E05008910 : Knoll,"5,016","4,935",22,10
E05008911 : North Petherton,"7,155","7,045",32,8
E05008912 : Puriton and Woolavington,"4,647","4,607",6,3
E05008913 : Quantocks,"4,471","4,440",9,1
E05008914 : Wedmore and Mark,"4,796","4,711",20,15
E05008915 : West Polden,"2,375","2,354",5,1
E05006819 : Blackdown,"2,334","2,309",4,2
E05006820 : Blackmoor Vale,"5,450","5,381",21,8
E05006821 : Bruton,"2,907","2,816",37,16
E05006822 : Brympton,"7,308","7,074",124,25
E05006823 : Burrow Hill,"2,211","2,188",7,1
E05006824 : Camelot,"2,742","2,711",13,4
E05006825 : Cary,"5,502","5,425",22,13
E05006826 : Chard Avishayes,"2,639","2,581",23,7
E05006827 : Chard Combe,"2,070","2,031",12,3
E05006828 : Chard Crimchard,"2,743","2,727",5,3
E05006829 : Chard Holyrood,"3,190","3,100",36,13
E05006830 : Chard Jocelyn,"2,432","2,375",18,12
E05006831 : Coker,"5,310","5,245",20,7
E05006832 : Crewkerne,"7,826","7,713",65,13
E05006833 : Curry Rivel,"2,527","2,508",5,5
E05006834 : Eggwood,"2,421","2,389",7,4
E05006835 : Hamdon,"2,711","2,681",4,4
E05006836 : Ilminster,"6,017","5,920",32,19
E05006837 : Islemoor,"2,772","2,733",11,2
E05006838 : Ivelchester,"4,319","4,233",27,19
E05006839 : Langport and Huish,"2,872","2,817",22,6
E05006840 : Martock,"5,724","5,623",32,9
E05006841 : Milborne Port,"2,802","2,777",6,0
E05006842 : Neroche,"2,428","2,408",4,1
E05006843 : Northstone,"3,005","2,975",14,3
E05006844 : Parrett,"2,336","2,325",3,1
E05006845 : St Michael's,"2,307","2,282",5,5
E05006846 : South Petherton,"4,866","4,813",15,6
E05006847 : Tatworth and Forton,"2,660","2,638",8,2
E05006848 : Tower,"2,442","2,388",32,6
E05006849 : Turn Hill,"2,830","2,810",4,0
E05006850 : Wessex,"5,402","5,334",26,15
E05006851 : Wincanton,"5,272","5,164",57,2
E05006852 : Windwhistle,"2,293","2,266",8,2
E05006853 : Yeovil Central,"7,716","7,239",359,32
E05006854 : Yeovil East,"7,575","7,389",104,11
E05006855 : Yeovil South,"8,798","8,585",85,37
E05006856 : Yeovil West,"7,449","7,273",82,16
E05006857 : Yeovil Without,"7,035","6,884",50,23
E05006858 : Bishop's Hull,"3,910","3,745",111,17
E05006859 : Bishop's Lydeard,"6,323","6,241",17,18
E05006860 : Blackdown,"2,064","2,029",8,6
E05006861 : Bradford-on-Tone,"2,337","2,311",10,2
E05006862 : Comeytrowe,"5,729","5,410",238,13
E05006863 : Milverton and North Deane,"2,208","2,180",3,4
E05006864 : Monument,"2,184","2,156",15,1
E05006865 : Neroche,"2,164","2,143",8,2
E05006866 : North Curry and Stoke St Gregory,"3,226","3,186",12,3
E05006867 : Norton Fitzwarren,"3,046","2,938",28,8
E05006868 : Ruishton and Creech,"4,008","3,968",10,4
E05006869 : Staplegrove,"4,004","3,816",114,25
E05006870 : Taunton Blackbrook and Holway,"6,457","6,277",90,17
E05006871 : Taunton Eastgate,"4,734","4,414",204,26
E05006872 : Taunton Fairwater,"6,321","6,100",92,29
E05006873 : Taunton Halcon,"6,464","6,325",66,6
E05006874 : Taunton Killams and Mountfield,"3,754","3,684",38,6
E05006875 : Taunton Lyngford,"5,514","5,346",91,19
E05006876 : Taunton Manor and Wilton,"5,394","5,138",157,14
E05006877 : Taunton Pyrland and Rowbarton,"6,248","6,126",30,17
E05006878 : Trull,"2,072","2,035",15,4
E05006879 : Wellington East,"3,865","3,730",89,15
E05006880 : Wellington North,"3,946","3,871",40,5
E05006881 : Wellington Rockwell Green and West,"6,011","5,892",54,17
E05006882 : West Monkton,"4,304","4,215",45,6
E05006883 : Wiveliscombe and West Deane,"3,900","3,840",23,2
E05008916 : Alcombe,"2,314","2,283",12,1
E05008917 : Brendon Hills,"1,287","1,272",5,1
E05008918 : Carhampton and Withycombe,"1,158","1,150",4,0
E05008919 : Crowcombe and Stogumber,"1,191","1,179",5,0
E05008920 : Dulverton and District,"2,491","2,461",15,2
E05008921 : Dunster and Timberscombe,"1,219","1,206",5,0
E05008922 : Greater Exmoor,"1,123","1,111",3,0
E05008923 : Minehead Central,"4,893","4,770",59,10
E05008924 : Minehead North,"2,139","2,084",34,0
E05008925 : Minehead South,"2,635","2,613",7,2
E05008926 : Old Cleeve,"2,196","2,171",7,0
E05008927 : Porlock and District,"2,338","2,323",2,0
E05008928 : Quantock Vale,"2,121","2,115",1,0
E05008929 : Watchet,"3,785","3,747",15,1
E05008930 : West Quantock,"1,088","1,083",1,0
E05008931 : Williton,"2,697","2,660",17,3
W05000001 : Aberffraw,"1,370","1,357",5,1
W05000002 : Amlwch Port,"2,507","2,475",15,4
W05000003 : Amlwch Rural,"1,282","1,267",4,1
W05000004 : Beaumaris,"1,938","1,912",7,5
W05000005 : Bodffordd,"1,534","1,519",5,0
W05000006 : Bodorgan,"1,704","1,694",3,0
W05000007 : Braint,"1,519","1,440",50,0
W05000008 : Bryngwran,"1,903","1,873",9,5
W05000009 : Brynteg,"1,869","1,860",1,0
W05000010 : Cadnant,"1,230","1,124",74,2
W05000011 : Cefni,"1,484","1,461",7,0
W05000882 : Cwm Cadnant,"2,254","2,190",23,3
W05000013 : Cyngar,"2,049","2,016",12,0
W05000014 : Gwyngyll,"1,588","1,534",42,1
W05000015 : Holyhead Town,"1,203","1,159",25,10
W05000883 : Kingsland,"1,525","1,502",6,1
W05000017 : Llanbadrig,"1,357","1,347",3,0
W05000884 : Llanbedrgoch,"1,513","1,503",1,2
W05000019 : Llanddyfnan,"1,315","1,309",1,1
W05000020 : Llaneilian,"2,264","2,238",3,7
W05000021 : Llanfaethlu,"1,648","1,631",2,1
W05000022 : Llanfair-yn-Neubwll,"2,925","2,881",18,3
W05000885 : Llanfihangel Ysgeifiog,"2,016","1,980",15,2
W05000024 : Llangoed,"1,229","1,215",1,4
W05000025 : Llanidan,"1,851","1,824",8,5
W05000026 : Llannerch-y-medd,"1,941","1,923",4,0
W05000886 : London Road,"1,493","1,463",13,2
W05000028 : Maeshyfryd,"2,286","2,244",8,0
W05000029 : Mechell,"1,545","1,536",3,0
W05000030 : Moelfre,"1,064","1,055",0,2
W05000031 : Morawelon,"1,504","1,479",7,1
W05000032 : Parc a'r Mynydd,"1,154","1,145",5,0
W05000887 : Pentraeth,"1,869","1,837",8,1
W05000034 : Porthyfelin,"2,266","2,224",8,1
W05000035 : Rhosneigr,"1,008",995,2,2
W05000036 : Rhosyr,"2,226","2,191",4,5
W05000888 : Trearddur,"2,228","2,213",6,0
W05000038 : Tudur,"1,583","1,562",11,2
W05000039 : Tysilio,"2,146","2,009",65,5
W05000040 : Valley,"2,361","2,333",7,2
W05000041 : Aberdaron,965,962,0,0
W05000042 : Aberdovey,"1,282","1,263",5,2
W05000043 : Abererch,"1,354","1,327",16,0
W05000044 : Abermaw,"2,522","2,450",21,6
W05000045 : Abersoch,783,772,1,1
W05000046 : Arllechwedd,"1,398","1,368",7,1
W05000047 : Bala,"1,974","1,952",5,1
W05000048 : Bethel,"1,395","1,379",1,2
W05000049 : Bontnewydd,"1,162","1,138",4,1
W05000050 : Botwnnog,996,992,2,0
W05000051 : Bowydd and Rhiw,"1,878","1,849",9,6
W05000052 : Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,"1,444","1,425",5,2
W05000053 : Bryn-crug/Llanfihangel,961,951,6,2
W05000054 : Cadnant,"2,060","2,016",26,0
W05000055 : Clynnog,997,992,3,0
W05000056 : Corris/Mawddwy,"1,345","1,333",4,1
W05000057 : Criccieth,"1,753","1,727",14,2
W05000058 : Cwm-y-Glo,995,972,1,1
W05000059 : Deiniol,"1,839","1,409",230,30
W05000060 : Deiniolen,"1,909","1,891",4,1
W05000061 : Dewi,"1,849","1,591",135,8
W05000062 : Diffwys and Maenofferen,"1,126","1,104",4,1
W05000063 : Dolbenmaen,"1,219","1,204",5,1
W05000064 : Dolgellau North,"1,204","1,184",8,2
W05000065 : Dolgellau South,"1,484","1,455",16,0
W05000066 : Dyffryn Ardudwy,"1,540","1,527",2,0
W05000067 : Efail-newydd/Buan,"1,275","1,261",2,1
W05000068 : Garth,997,915,39,4
W05000069 : Gerlan,"2,380","2,319",18,1
W05000070 : Glyder,"1,777","1,598",117,2
W05000071 : Groeslon,"1,695","1,685",7,0
W05000072 : Harlech,"1,997","1,948",23,3
W05000073 : Hendre,"1,496","1,312",117,16
W05000074 : Hirael,"1,706","1,476",126,15
W05000075 : Llanaelhaearn,"1,683","1,676",0,0
W05000076 : Llanbedr,"1,098","1,083",1,3
W05000077 : Llanbedrog,"1,002",956,11,3
W05000078 : Llanberis,"2,026","1,991",9,2
W05000079 : Llandderfel,"1,511","1,504",2,0
W05000080 : Llanengan,"1,206","1,183",4,6
W05000081 : Llangelynin,"2,007","1,969",14,16
W05000082 : Llanllyfni,"1,256","1,242",0,3
W05000083 : Llanrug,"1,916","1,895",3,1
W05000084 : Llanuwchllyn,877,868,5,1
W05000085 : Llanwnda,"1,994","1,983",3,0
W05000086 : Llanystumdwy,"2,080","2,071",2,0
W05000087 : Marchog,"2,566","2,441",62,10
W05000088 : Menai (Bangor),"4,128","3,350",552,55
W05000089 : Menai (Caernarfon),"2,196","2,159",27,1
W05000090 : Morfa Nefyn,"1,229","1,225",0,0
W05000091 : Nefyn,"1,373","1,360",0,1
W05000092 : Ogwen,"2,355","2,307",14,5
W05000093 : Peblig (Caernarfon),"2,321","2,280",18,5
W05000094 : Penisarwaun,"1,768","1,749",5,2
W05000095 : Penrhyndeudraeth,"2,587","2,563",7,7
W05000096 : Pentir,"2,450","2,119",191,27
W05000097 : Penygroes,"1,793","1,772",4,6
W05000098 : Porthmadog East,"1,775","1,739",17,2
W05000099 : Porthmadog West,"1,732","1,691",17,0
W05000100 : Porthmadog-Tremadog,"1,257","1,246",9,1
W05000101 : Pwllheli North,"2,190","2,164",9,0
W05000102 : Pwllheli South,"1,886","1,860",7,1
W05000103 : Seiont,"3,038","2,943",54,4
W05000104 : Talysarn,"1,930","1,875",37,1
W05000105 : Teigl,"1,871","1,851",6,1
W05000106 : Trawsfynydd,"1,604","1,583",5,3
W05000107 : Tregarth & Mynydd Llandygai,"2,218","2,185",1,1
W05000108 : Tudweiliog,970,933,4,2
W05000109 : Tywyn,"3,264","3,214",37,0
W05000110 : Waunfawr,"1,676","1,663",6,1
W05000111 : Y Felinheli,"2,284","2,133",44,5
W05000112 : Abergele Pensarn,"2,461","2,426",13,3
W05000113 : Betws-y-Coed,"1,244","1,234",5,0
W05000114 : Betws yn Rhos,"2,122","2,091",14,6
W05000115 : Bryn,"1,815","1,791",15,1
W05000116 : Caerhun,"2,007","1,990",1,2
W05000117 : Capelulo,"1,485","1,471",2,3
W05000118 : Colwyn,"4,566","4,482",28,5
W05000119 : Conwy,"4,065","3,997",25,5
W05000913 : Craig-y-Don,"3,424","3,280",73,4
W05000121 : Crwst,"2,118","2,086",10,2
W05000914 : Deganwy,"3,936","3,824",60,7
W05000123 : Eglwysbach,"1,537","1,529",1,3
W05000124 : Eirias,"3,547","3,465",43,3
W05000125 : Gele,"4,611","4,487",76,1
W05000126 : Glyn,"4,340","4,151",112,5
W05000127 : Gogarth,"3,747","3,593",63,17
W05000128 : Gower,"1,205","1,199",0,0
W05000129 : Kinmel Bay,"6,080","5,932",88,16
W05000130 : Llanddulas,"1,542","1,510",17,2
W05000131 : Llandrillo yn Rhos,"7,593","7,423",64,10
W05000132 : Llangernyw,"1,435","1,418",7,0
W05000133 : Llansanffraid,"2,196","2,160",10,9
W05000134 : Llansannan,"1,925","1,914",5,1
W05000135 : Llysfaen,"2,743","2,704",14,6
W05000915 : Marl,"3,879","3,820",22,6
W05000137 : Mochdre,"1,923","1,876",31,1
W05000138 : Mostyn,"3,639","3,521",47,7
W05000139 : Pandy,"1,822","1,793",4,2
W05000140 : Pant-yr-afon/Penmaenan,"2,868","2,826",11,5
W05000916 : Penrhyn,"4,883","4,767",45,8
W05000917 : Pensarn,"2,843","2,791",26,3
W05000143 : Pentre Mawr,"3,505","3,443",40,2
W05000144 : Rhiw,"6,641","6,287",189,33
W05000145 : Towyn,"2,380","2,352",12,7
W05000146 : Trefriw,"1,229","1,212",5,1
W05000918 : Tudno,"5,008","4,865",64,11
W05000148 : Uwch Conwy,"1,465","1,446",7,1
W05000149 : Uwchaled,"1,399","1,393",3,1
W05000150 : Bodelwyddan,"2,147","2,012",115,3
W05000151 : Corwen,"2,325","2,295",5,2
W05000152 : Denbigh Central,"2,122","2,016",70,7
W05000153 : Denbigh Lower,"4,561","4,454",70,7
W05000154 : Denbigh Upper/Henllan,"3,165","3,120",18,9
W05000155 : Dyserth,"2,269","2,237",10,0
W05000156 : Efenechtyd,"1,686","1,666",3,1
W05000157 : Llanarmon-yn-Ial/Llandegla,"2,456","2,428",11,1
W05000158 : Llanbedr Dyffryn Clwyd/Llangynhafal,"1,421","1,408",0,0
W05000159 : Llandrillo,"1,122","1,103",4,3
W05000160 : Llandyrnog,"2,156","2,120",10,4
W05000161 : Llanfair Dyffryn Clwyd/Gwyddelwern,"2,227","2,186",15,3
W05000162 : Llangollen,"4,079","4,005",18,2
W05000163 : Llanrhaeadr-yng-Nghinmeirch,"1,856","1,839",9,1
W05000164 : Prestatyn Central,"3,532","3,458",52,3
W05000165 : Prestatyn East,"4,015","3,886",52,10
W05000166 : Prestatyn Meliden,"2,066","2,038",18,1
W05000167 : Prestatyn North,"5,716","5,571",83,10
W05000168 : Prestatyn South West,"3,520","3,464",19,11
W05000169 : Rhuddlan,"3,709","3,662",22,2
W05000170 : Rhyl East,"4,217","4,142",29,13
W05000171 : Rhyl South,"3,569","3,487",28,6
W05000172 : Rhyl South East,"7,594","7,382",131,21
W05000173 : Rhyl South West,"5,383","5,123",199,8
W05000174 : Rhyl West,"4,386","4,068",222,14
W05000175 : Ruthin,"5,461","5,251",148,6
W05000176 : St. Asaph East,"1,674","1,633",22,1
W05000177 : St. Asaph West,"1,681","1,661",9,3
W05000178 : Trefnant,"1,970","1,916",30,3
W05000179 : Tremeirchion,"1,649","1,623",8,6
W05000180 : Argoed,"2,836","2,817",6,4
W05000181 : Aston,"3,117","3,060",37,1
W05000182 : Bagillt East,"1,941","1,919",10,1
W05000183 : Bagillt West,"2,224","2,207",2,0
W05000184 : Broughton North East,"2,292","2,243",25,1
W05000185 : Broughton South,"3,682","3,601",39,6
W05000186 : Brynford,"2,153","2,143",2,2
W05000187 : Buckley Bistre East,"3,445","3,411",15,0
W05000188 : Buckley Bistre West,"4,527","4,469",34,1
W05000189 : Buckley Mountain,"3,013","2,972",12,12
W05000190 : Buckley Pentrobin,"4,680","4,629",21,3
W05000191 : Caergwrle,"1,619","1,594",9,1
W05000192 : Caerwys,"2,569","2,555",9,1
W05000193 : Cilcain,"1,874","1,853",7,1
W05000194 : Connah's Quay Central,"3,356","3,285",36,4
W05000195 : Connah's Quay Golftyn,"5,504","5,414",36,0
W05000196 : Connah's Quay South,"5,655","5,589",32,1
W05000197 : Connah's Quay Wepre,"2,259","2,234",6,1
W05000198 : Ewloe,"5,420","5,267",99,6
W05000199 : Ffynnongroyw,"1,808","1,776",17,2
W05000200 : Flint Castle,"2,264","2,194",38,3
W05000201 : Flint Coleshill,"4,028","3,970",29,5
W05000202 : Flint Oakenholt,"3,051","3,016",11,2
W05000203 : Flint Trelawny,"3,610","3,568",30,1
W05000204 : Greenfield,"2,741","2,703",15,4
W05000205 : Gronant,"1,527","1,515",1,2
W05000206 : Gwernaffield,"1,942","1,929",4,0
W05000207 : Gwernymynydd,"1,726","1,720",2,0
W05000208 : Halkyn,"1,785","1,772",1,0
