KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05001164 : Ryhope,"10,484","10,222",144,18
E05001165 : St Anne's,"11,067","10,861",122,23
E05001166 : St Chad's,"9,449","9,310",66,21
E05001167 : St Michael's,"10,998","10,179",462,111
E05001168 : St Peter's,"10,605","9,900",449,107
E05001169 : Sandhill,"11,128","10,941",104,19
E05001170 : Shiney Row,"12,549","12,321",132,24
E05001171 : Silksworth,"10,531","10,323",135,13
E05001172 : Southwick,"10,535","10,384",61,31
E05001173 : Washington Central,"11,041","10,884",76,16
E05001174 : Washington East,"10,772","10,402",234,35
E05001175 : Washington North,"11,297","11,055",91,55
E05001176 : Washington South,"10,253","9,962",173,16
E05001177 : Washington West,"11,833","11,589",149,25
E05001620 : Audley,"9,183","2,462","6,328",96
E05001621 : Bastwell,"7,699",731,"6,708",54
E05001622 : Beardwood with Lammack,"5,997","3,757","2,040",30
E05001623 : Corporation Park,"7,353","2,362","4,724",21
E05001624 : Earcroft,"4,339","4,124",143,13
E05001625 : East Rural,"1,924","1,890",16,1
E05001626 : Ewood,"6,927","6,388",325,61
E05001627 : Fernhurst,"5,928","5,690",156,17
E05001628 : Higher Croft,"7,840","7,229",414,67
E05001629 : Little Harwood,"6,752","2,936","3,645",32
E05001630 : Livesey with Pleasington,"6,648","6,530",48,10
E05001631 : Marsh House,"6,415","6,182",146,20
E05001632 : Meadowhead,"5,743","5,558",89,29
E05001633 : Mill Hill,"6,387","5,823",401,54
E05001634 : North Turton with Tockholes,"4,345","4,281",24,3
E05001635 : Queen's Park,"6,798","2,907","3,560",50
E05001636 : Roe Lee,"6,122","4,624","1,356",28
E05001637 : Shadsworth with Whitebirk,"8,511","6,976","1,267",89
E05001638 : Shear Brow,"7,908","1,313","6,339",39
E05001639 : Sudell,"7,030","6,444",432,48
E05001640 : Sunnyhurst,"6,183","5,857",258,10
E05001641 : Wensley Fold,"7,378","3,966","3,015",152
E05001642 : Whitehall,"4,079","3,979",60,9
E05001643 : Anchorsholme,"6,342","6,229",51,15
E05001644 : Bispham,"6,375","6,214",61,10
E05001645 : Bloomfield,"6,927","6,538",203,28
E05001646 : Brunswick,"7,138","6,676",247,21
E05001647 : Claremont,"7,478","7,077",189,32
E05001648 : Clifton,"6,910","6,754",62,11
E05001649 : Greenlands,"6,865","6,681",84,15
E05001650 : Hawes Side,"7,235","7,059",70,12
E05001651 : Highfield,"6,457","6,309",69,9
E05001652 : Ingthorpe,"6,761","6,609",70,10
E05001653 : Layton,"6,845","6,509",213,11
E05001654 : Marton,"6,852","6,713",58,7
E05001655 : Norbreck,"6,206","6,120",39,7
E05001656 : Park,"7,261","6,952",167,28
E05001657 : Squires Gate,"6,437","6,305",54,13
E05001658 : Stanley,"6,530","6,363",61,10
