KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05008070 : Ponteland West,"3,647",443,387,"1,605"
E05008071 : Prudhoe East,"4,736","1,232",678,994
E05008072 : Prudhoe West,"4,014",624,526,"1,154"
E05008073 : Rothbury,"4,524",900,523,"1,625"
E05008074 : Seaton with Newbiggin West,"3,659",997,553,633
E05008075 : Seghill with Seaton Delaval,"4,548","1,116",771,895
E05008076 : Shilbottle,"4,124",814,463,"1,443"
E05008077 : Sleekburn,"3,293","1,021",562,477
E05008078 : South Blyth,"3,765",540,508,"1,013"
E05008079 : South Tynedale,"4,117",655,412,"1,690"
E05008080 : Stakeford,"4,023","1,092",566,793
E05008081 : Stocksfield and Broomhaugh,"4,068",584,345,"1,914"
E05008082 : Ulgham,"4,325",824,533,"1,445"
E05008083 : Wensleydale,"3,838",959,555,740
E05008084 : Wooler,"3,707",952,576,923
E05001505 : Brotton,"5,599","1,744",802,735
E05001506 : Coatham,"4,417","1,239",668,670
E05001507 : Dormanstown,"5,479","1,726",813,694
E05001508 : Eston,"5,826","2,017",870,686
E05001509 : Grangetown,"3,660","1,582",632,201
E05001510 : Guisborough,"6,375","1,908",747,"1,333"
E05001511 : Hutton,"6,019",950,577,"2,201"
E05001512 : Kirkleatham,"5,747","1,975",792,848
E05001513 : Lockwood,"1,700",620,207,270
E05001514 : Loftus,"5,245","1,846",761,719
E05001515 : Longbeck,"5,756","1,067",701,"1,432"
E05001516 : Newcomen,"3,510","1,079",539,467
E05001517 : Normanby,"5,844","1,563",872,"1,050"
E05001518 : Ormesby,"5,032","1,446",661,960
E05001519 : St Germain's,"5,253","1,319",601,"1,287"
E05001520 : Saltburn,"5,091","1,125",524,"1,696"
E05001521 : Skelton,"5,993","1,573",824,"1,062"
E05001522 : South Bank,"5,203","2,047",816,537
E05001523 : Teesville,"5,453","1,936",721,716
E05001524 : West Dyke,"6,208","1,091",805,"1,603"
E05001525 : Westworth,"3,833",792,503,"1,009"
E05001526 : Zetland,"3,768",905,511,837
E05001527 : Billingham Central,"5,762","1,722",954,760
E05001528 : Billingham East,"5,929","1,857","1,109",625
E05001529 : Billingham North,"7,575","1,286","1,071","1,867"
E05001530 : Billingham South,"5,290","1,486",904,796
E05001531 : Billingham West,"4,784","1,000",610,"1,119"
E05001532 : Bishopsgarth and Elm Tree,"5,639","1,243",728,"1,274"
E05001533 : Eaglescliffe,"8,535","1,401",963,"3,024"
E05001534 : Fairfield,"4,882","1,030",636,"1,138"
E05001535 : Grangefield,"5,514","1,018",698,"1,521"
E05001536 : Hardwick,"5,253","2,048",814,562
E05001537 : Hartburn,"5,619",931,632,"1,705"
E05001538 : Ingleby Barwick East,"7,813",860,942,"2,763"
E05001539 : Ingleby Barwick West,"7,800",647,"1,025","2,924"
E05001540 : Mandale and Victoria,"9,046","2,651","1,277","1,314"
E05001541 : Newtown,"5,573","1,727",960,702
E05001542 : Northern Parishes,"2,681",302,278,"1,204"
E05001543 : Norton North,"5,395","1,562",758,"1,042"
E05001544 : Norton South,"6,500","1,875","1,025","1,043"
E05001545 : Norton West,"5,371","1,021",632,"1,649"
E05001546 : Parkfield and Oxbridge,"6,253","1,576",899,"1,297"
E05001547 : Roseworth,"5,903","2,155","1,006",588
E05001548 : Stainsby Hill,"5,270","1,781",830,584
E05001549 : Stockton Town Centre,"5,306","2,130",743,530
E05001550 : Village,"5,743","1,714",803,947
E05001551 : Western Parishes,"2,801",540,311,960
E05001552 : Yarm,"8,266","1,165",857,"3,312"
E05001067 : Birtley,"6,888","2,064","1,014","1,156"
E05001068 : Blaydon,"8,269","2,233","1,259","1,662"
E05001069 : Bridges,"7,739","1,873","1,151","2,429"
E05001070 : Chopwell and Rowlands Gill,"7,693","2,058","1,130","1,834"
E05001071 : Chowdene,"7,646","2,305","1,201","1,323"
E05001072 : Crawcrook and Greenside,"7,352","1,515","1,002","2,013"
E05001073 : Deckham,"8,052","2,639","1,191","1,525"
E05001074 : Dunston and Teams,"7,553","2,397","1,084","1,451"
E05001075 : Dunston Hill and Whickham East,"7,571","1,698","1,007","1,911"
E05001076 : Felling,"7,265","2,852","1,036","1,024"
E05001077 : High Fell,"7,634","2,866","1,188","1,005"
E05001078 : Lamesley,"7,331","2,369","1,082","1,229"
E05001079 : Lobley Hill and Bensham,"8,859","2,838","1,219","1,542"
E05001080 : Low Fell,"7,226","1,320",751,"2,693"
E05001081 : Pelaw and Heworth,"7,459","2,133","1,080","1,353"
"E05001082 : Ryton, Crookhill and Stella","6,729","1,500",932,"1,846"
E05001083 : Saltwell,"7,515","1,820",993,"1,974"
E05001084 : Wardley and Leam Lane,"6,788","1,906","1,081","1,228"
E05001085 : Whickham North,"6,992","1,745",978,"1,628"
E05001086 : Whickham South and Sunniside,"6,963","1,340",883,"2,059"
E05001087 : Windy Nook and Whitehills,"8,022","2,708","1,301","1,107"
E05001088 : Winlaton and High Spen,"7,170","2,013","1,029","1,417"
E05001089 : Benwell and Scotswood,"9,936","3,741","1,399","1,393"
E05001090 : Blakelaw,"9,038","2,941","1,297","1,774"
E05001091 : Byker,"9,750","3,677","1,397","1,531"
E05001092 : Castle,"8,213","1,696","1,159","2,401"
E05001093 : Dene,"7,906","1,147",837,"3,308"
E05001094 : Denton,"8,464","2,696","1,432","1,233"
E05001095 : East Gosforth,"8,494","1,003",504,"4,616"
E05001096 : Elswick,"9,940","3,619","1,291","1,932"
E05001097 : Fawdon,"8,063","2,617","1,218","1,425"
E05001098 : Fenham,"8,805","2,576","1,231","1,511"
E05001099 : Kenton,"8,954","2,501","1,277","2,131"
E05001100 : Lemington,"8,246","2,284","1,403","1,431"
E05001101 : Newburn,"7,870","2,315","1,149","1,531"
E05001102 : North Heaton,"8,077","1,459",787,"2,842"
E05001103 : North Jesmond,"10,267",344,238,"3,380"
E05001104 : Ouseburn,"10,641","1,322",544,"3,083"
E05001105 : Parklands,"7,927",970,685,"4,014"
E05001106 : South Heaton,"9,217","1,267",573,"3,490"
E05001107 : South Jesmond,"10,333",674,347,"3,922"
E05001108 : Walker,"9,081","4,042","1,407",655
E05001109 : Walkergate,"7,936","2,447","1,288","1,185"
E05001110 : Westerhope,"7,931","2,077","1,069","1,655"
E05001111 : Westgate,"9,024","1,539",794,"2,927"
E05001112 : West Gosforth,"8,095","1,016",529,"4,537"
E05001113 : Wingrove,"11,205","2,036",973,"3,756"
E05001114 : Woolsington,"8,790","2,879","1,412","1,410"
E05001115 : Battle Hill,"8,910","2,203","1,465","1,549"
E05001116 : Benton,"8,606","2,003","1,102","2,492"
E05001117 : Camperdown,"8,351","2,308","1,523","1,349"
E05001118 : Chirton,"9,342","2,979","1,675","1,224"
E05001119 : Collingwood,"9,073","2,413","1,396","1,779"
E05001120 : Cullercoats,"7,785","1,534",948,"2,449"
E05001121 : Howdon,"8,944","2,984","1,443","1,098"
E05001122 : Killingworth,"7,941","1,724","1,209","1,935"
E05001123 : Longbenton,"8,768","2,464","1,287","2,086"
E05001124 : Monkseaton North,"7,331",854,707,"3,214"
E05001125 : Monkseaton South,"8,003","1,628",984,"2,376"
E05001126 : Northumberland,"6,832","1,784","1,092","1,205"
E05001127 : Preston,"7,226","1,494",823,"2,234"
E05001128 : Riverside,"9,256","2,795","1,453","1,728"
E05001129 : St Mary's,"6,991",966,654,"2,835"
E05001130 : Tynemouth,"8,990","1,603",836,"3,712"
E05001131 : Valley,"8,612","2,046","1,308","1,977"
E05001132 : Wallsend,"8,702","2,109","1,323","1,925"
E05001133 : Weetslade,"7,751","2,017","1,134","1,578"
E05001134 : Whitley Bay,"7,674","1,249",821,"2,989"
E05001135 : Beacon and Bents,"7,463","2,278","1,064","1,491"
E05001136 : Bede,"6,207","2,075","1,031",667
E05001137 : Biddick and All Saints,"6,788","2,416","1,181",742
E05001138 : Boldon Colliery,"7,559","1,966","1,080","1,620"
E05001139 : Cleadon and East Boldon,"7,122","1,011",702,"2,955"
E05001140 : Cleadon Park,"5,605","1,817",769,972
E05001141 : Fellgate and Hedworth,"6,338","1,713","1,045","1,098"
E05001142 : Harton,"6,964","2,036",984,"1,281"
E05001143 : Hebburn North,"7,127","1,743","1,154","1,293"
E05001144 : Hebburn South,"6,419","1,895",849,"1,072"
E05001145 : Horsley Hill,"7,478","1,977",981,"1,585"
E05001146 : Monkton,"6,855","1,862","1,028","1,259"
E05001147 : Primrose,"6,541","2,116",997,903
E05001148 : Simonside and Rekendyke,"7,183","2,420","1,141",911
E05001149 : Westoe,"6,879","1,424",911,"1,814"
E05001150 : West Park,"6,586","1,401",943,"1,516"
E05001151 : Whitburn and Marsden,"6,190","1,682",838,"1,455"
E05001152 : Whiteleas,"6,896","2,357","1,101",880
E05001153 : Barnes,"9,089","2,300","1,245","2,130"
E05001154 : Castle,"8,825","3,197","1,641",832
E05001155 : Copt Hill,"9,189","2,651","1,353","1,707"
E05001156 : Doxford,"8,232","2,040","1,288","1,665"
E05001157 : Fulwell,"9,799","1,902","1,277","2,726"
E05001158 : Hendon,"10,531","3,502","1,490","1,813"
E05001159 : Hetton,"9,106","3,140","1,384","1,297"
E05001160 : Houghton,"9,262","2,797","1,473","1,499"
E05001161 : Millfield,"10,080","2,368","1,172","2,311"
E05001162 : Pallion,"8,242","2,974","1,451",969
E05001163 : Redhill,"9,165","3,556","1,708",708
E05001164 : Ryhope,"8,551","2,499","1,259","1,539"
E05001165 : St Anne's,"8,902","3,035","1,591","1,128"
E05001166 : St Chad's,"7,989","2,509","1,066","1,586"
E05001167 : St Michael's,"9,488","1,922","1,094","3,020"
E05001168 : St Peter's,"9,171","2,187","1,093","2,372"
E05001169 : Sandhill,"9,117","3,382","1,650",886
E05001170 : Shiney Row,"10,086","2,726","1,601","1,920"
E05001171 : Silksworth,"8,688","2,764","1,315","1,416"
E05001172 : Southwick,"8,643","3,325","1,410","1,003"
E05001173 : Washington Central,"9,183","2,271","1,569","1,739"
E05001174 : Washington East,"8,791","2,065","1,413","2,008"
E05001175 : Washington North,"9,057","2,897","1,648","1,116"
E05001176 : Washington South,"8,522","1,630","1,436","2,107"
E05001177 : Washington West,"9,606","2,397","1,621","1,840"
E05001620 : Audley,"6,631","2,637",973,786
E05001621 : Bastwell,"5,379","1,932",817,748
E05001622 : Beardwood with Lammack,"4,768",782,516,"1,783"
E05001623 : Corporation Park,"5,361","1,511",720,"1,189"
E05001624 : Earcroft,"3,513","1,153",518,564
E05001625 : East Rural,"1,651",332,186,483
E05001626 : Ewood,"5,352","1,552",851,869
E05001627 : Fernhurst,"4,543",627,666,"1,275"
