KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05008673 : Gowy,"3,236",559,346,"1,300"
E05008674 : Grange,"3,600","1,248",709,349
E05008675 : Great Boughton,"7,416","1,294",829,"2,626"
E05008676 : Handbridge Park,"7,494","1,028",661,"3,598"
E05008677 : Hartford and Greenbank,"6,789",991,785,"2,695"
E05008678 : Helsby,"4,116",721,459,"1,448"
E05008679 : Hoole,"7,867","1,355",793,"3,310"
E05008680 : Kingsley,"3,559",524,347,"1,499"
E05008681 : Lache,"4,545","1,235",649,"1,048"
E05008682 : Ledsham and Manor,"6,443",935,874,"1,830"
E05008683 : Little Neston and Burton,"7,258","1,190",842,"2,482"
E05008684 : Malpas,"3,348",799,409,953
E05008685 : Marbury,"10,012","1,945","1,329","2,988"
E05008686 : Neston,"3,537",881,515,929
E05008687 : Netherpool,"2,680",860,496,370
E05008688 : Newton,"8,179","1,367",846,"2,976"
E05008689 : Parkgate,"3,117",449,286,"1,417"
E05008690 : Rossmore,"3,099",960,558,444
E05008691 : St Paul's,"7,426","2,072","1,270","1,250"
E05008692 : Saughall and Mollington,"3,747",721,453,"1,271"
E05008693 : Shakerley,"3,513",868,474,916
E05008694 : Strawberry,"4,138",631,534,"1,151"
E05008695 : Sutton,"7,574","1,898","1,255","1,342"
E05008696 : Tarporley,"3,660",649,366,"1,489"
E05008697 : Tarvin and Kelsall,"6,776","1,270",746,"2,600"
E05008698 : Tattenhall,"3,661",599,407,"1,410"
E05008699 : Upton,"7,096","1,312",833,"2,565"
E05008700 : Weaver and Cuddington,"10,605","2,219","1,283","3,378"
E05008701 : Whitby,"6,693","1,364",973,"1,652"
E05008702 : Willaston and Thornton,"3,272",441,335,"1,395"
E05008703 : Winnington and Castle,"7,512","1,650","1,165","1,660"
E05008704 : Winsford Over and Verdin,"10,559","2,829","1,756","2,078"
E05008705 : Winsford Swanlow and Dene,"7,346","2,115","1,205","1,252"
E05008706 : Winsford Wharton,"7,731","2,136","1,407","1,257"
E05008707 : Witton and Rudheath,"6,766","1,943","1,118","1,072"
E05001577 : Appleton,"5,522","1,667",920,762
E05001578 : Beechwood,"3,158",607,444,771
E05001579 : Birchfield,"5,372",524,688,"2,018"
E05001580 : Broadheath,"5,101","1,571",906,650
E05001581 : Halton Castle,"4,970","1,701",894,620
E05001582 : Daresbury,"3,536",449,453,"1,316"
E05001583 : Ditton,"5,992","1,851",987,916
E05001584 : Farnworth,"6,021","1,112",805,"1,658"
E05001585 : Grange,"5,398","1,759","1,021",584
E05001586 : Hale,"1,595",376,222,417
E05001587 : Halton Brook,"5,189","1,605","1,002",606
E05001588 : Halton Lea,"5,188","1,834",984,495
E05001589 : Halton View,"5,612","1,577",934,864
E05001590 : Heath,"4,861","1,052",706,"1,109"
E05001591 : Hough Green,"5,546","1,599",953,862
E05001592 : Kingsway,"5,240","1,610",888,751
E05001593 : Mersey,"6,034","1,493","1,052","1,046"
E05001594 : Norton North,"5,289","1,061",919,"1,207"
E05001595 : Norton South,"5,094","1,581","1,041",523
E05001596 : Riverside,"4,269","1,397",790,479
E05001597 : Windmill Hill,"1,832",700,366,138
E05001598 : Appleton,"8,738","1,190",999,"3,758"
E05001599 : Bewsey and Whitecross,"9,697","2,556","1,638","1,733"
E05001600 : Birchwood,"8,783","1,718","1,288","2,379"
E05001601 : Burtonwood and Winwick,"5,239","1,264",699,"1,311"
"E05001602 : Culcheth, Glazebury and Croft","9,752","1,868","1,244","3,350"
E05001603 : Fairfield and Howley,"10,688","2,945","1,792","1,801"
E05001604 : Grappenhall and Thelwall,"7,806","1,166",945,"2,882"
E05001605 : Great Sankey North,"5,143",940,711,"1,513"
E05001606 : Great Sankey South,"8,486","1,637","1,430","1,967"
"E05001607 : Hatton, Stretton and Walton","2,424",246,242,"1,090"
E05001608 : Latchford East,"6,524","1,872","1,107","1,078"
E05001609 : Latchford West,"5,821","1,492",944,"1,181"
E05001610 : Lymm,"9,769","1,242",949,"4,450"
E05001611 : Orford,"8,383","2,549","1,569","1,092"
E05001612 : Penketh and Cuerdley,"7,143","1,639",965,"1,774"
E05001613 : Poplars and Hulme,"8,164","2,532","1,585","1,034"
E05001614 : Poulton North,"8,340","1,857","1,264","1,777"
E05001615 : Poulton South,"5,409","1,197",863,"1,207"
E05001616 : Rixton and Woolston,"7,598","1,511","1,173","1,933"
E05001617 : Stockton Heath,"5,133",690,543,"2,228"
E05001618 : Westbrook,"5,201",685,706,"1,748"
E05001619 : Whittle Hall,"9,236","1,019","1,190","3,584"
E05003114 : All Saints,"3,962",871,489,"1,333"
E05003115 : Aspatria,"2,800",859,453,449
E05003116 : Boltons,"1,585",319,161,587
E05003117 : Broughton St Bridget's,"3,393",624,315,"1,267"
E05003118 : Christchurch,"2,878",581,263,"1,105"
E05003119 : Clifton,"1,344",462,212,241
E05003120 : Crummock,"1,358",188,125,615
E05003121 : Dalton,"1,535",228,147,681
E05003122 : Derwent Valley,"1,402",196,140,553
E05003123 : Ellen,"2,669",701,369,574
E05003124 : Ellenborough,"3,159","1,039",454,437
E05003125 : Ewanrigg,"2,708","1,143",414,254
E05003126 : Flimby,"1,412",504,245,141
E05003127 : Harrington,"2,700",614,338,655
E05003128 : Holme,"1,427",407,181,276
E05003129 : Keswick,"4,497",868,569,"1,442"
E05003130 : Marsh,"1,345",308,180,374
E05003131 : Moorclose,"3,988","1,469",714,331
E05003132 : Moss Bay,"3,931","1,673",667,255
E05003133 : Netherhall,"2,622",745,384,464
E05003134 : St John's,"4,646","1,119",637,953
E05003135 : St Michael's,"4,288","1,414",668,553
E05003136 : Seaton,"4,272",999,600,860
E05003137 : Silloth,"2,798",920,391,513
E05003138 : Solway,"1,367",336,200,300
E05003139 : Stainburn,"1,438",272,184,398
E05003140 : Wampool,"1,400",322,171,432
E05003141 : Warnell,"1,647",317,216,573
E05003142 : Waver,"1,522",369,222,367
E05003143 : Wharrels,"1,289",304,155,420
E05003144 : Wigton,"4,773","1,465",696,851
E05003145 : Barrow Island,"2,222",627,352,260
E05003146 : Central,"3,637","1,277",570,381
E05003147 : Dalton North,"4,985","1,137",659,"1,149"
E05003148 : Dalton South,"5,102","1,257",638,"1,013"
E05003149 : Hawcoat,"4,372","1,007",423,"1,222"
E05003150 : Hindpool,"4,770","1,531",790,553
E05003151 : Newbarns,"4,491",980,492,"1,105"
E05003152 : Ormsgill,"4,862","1,348",765,732
E05003153 : Parkside,"4,560",868,624,"1,065"
E05003154 : Risedale,"4,923","1,477",759,647
E05003155 : Roosecote,"4,006",649,451,"1,089"
E05003156 : Walney North,"4,451","1,305",586,716
E05003157 : Walney South,"4,415",959,601,853
E05003158 : Belah,"5,077","1,075",718,"1,338"
E05003159 : Belle Vue,"5,124","1,414",806,900
E05003160 : Botcherby,"4,856","1,634",771,645
E05003161 : Brampton,"3,795",901,523,974
E05003162 : Burgh,"1,779",303,239,546
E05003163 : Castle,"5,007","1,089",763,"1,147"
E05003164 : Currock,"4,934","1,308",966,683
E05003165 : Dalston,"5,051",965,716,"1,491"
E05003166 : Denton Holme,"5,366","1,321",870,"1,165"
E05003167 : Great Corby and Geltsdale,"1,809",275,202,705
E05003168 : Harraby,"5,437","1,648",890,850
E05003169 : Hayton,"1,734",330,208,553
E05003170 : Irthing,"1,655",281,216,537
E05003171 : Longtown & Rockcliffe,"3,514","1,074",587,573
E05003172 : Lyne,"1,647",412,230,395
E05003173 : Morton,"4,991","1,903",801,547
E05003174 : St Aidans,"5,314","1,173",723,"1,122"
E05003175 : Stanwix Rural,"3,806",669,467,"1,163"
E05003176 : Stanwix Urban,"4,957",818,532,"1,725"
E05003177 : Upperby,"4,308","1,628",740,483
E05003178 : Wetheral,"3,890",621,459,"1,390"
E05003179 : Yewdale,"4,991","1,322",772,834
E05003180 : Arlecdon,"1,271",245,173,369
E05003181 : Beckermet,"2,556",534,326,780
E05003182 : Bootle,"1,128",292,123,278
E05003183 : Bransty,"4,103",734,526,"1,121"
E05003184 : Cleator Moor North,"3,414","1,007",557,528
E05003185 : Cleator Moor South,"2,322",747,339,344
E05003186 : Distington,"3,357","1,055",516,489
E05003187 : Egremont North,"3,561",993,563,583
E05003188 : Egremont South,"3,148",893,418,590
E05003189 : Ennerdale,874,141,90,361
E05003190 : Frizington,"2,114",647,322,387
E05003191 : Gosforth,"1,230",229,127,452
E05003192 : Harbour,"3,607","1,132",477,752
E05003193 : Haverigg,"1,666",467,293,252
E05003194 : Hensingham,"3,346",975,471,609
E05003195 : Hillcrest,"2,180",327,281,621
E05003196 : Holborn Hill,"2,022",561,320,327
E05003197 : Kells,"2,040",688,320,276
E05003198 : Millom Without,"1,190",259,122,401
E05003199 : Mirehouse,"3,576","1,378",641,324
E05003200 : Moresby,"1,188",236,153,313
E05003201 : Newtown,"2,897",972,410,405
E05003202 : St Bees,"1,470",174,154,690
E05003203 : Sandwith,"1,955",735,351,201
E05003204 : Seascale,"2,398",379,262,854
E05003205 : Alston Moor,"1,793",410,245,495
E05003206 : Appleby (Appleby),"1,117",390,125,217
E05003207 : Appleby (Bongate),"1,440",328,200,351
E05003208 : Askham,"1,198",223,151,410
E05003209 : Brough,"1,087",246,174,265
E05003210 : Crosby Ravensworth,"1,146",239,148,394
E05003211 : Dacre,"1,222",247,138,423
E05003212 : Eamont,"1,255",294,157,366
E05003213 : Greystoke,"1,180",262,105,437
E05003214 : Hartside,"1,064",221,125,383
E05003215 : Hesket,"2,663",483,365,785
E05003216 : Kirkby Stephen,"2,161",589,305,539
E05003217 : Kirkby Thore,"1,257",269,177,350
E05003218 : Kirkoswald,"1,200",224,137,433
E05003219 : Langwathby,"1,298",248,166,435
E05003220 : Lazonby,"1,176",211,113,423
E05003221 : Long Marton,"1,009",227,135,291
E05003222 : Morland,"1,059",186,124,354
E05003223 : Orton with Tebay,"1,129",255,156,329
E05003224 : Penrith Carleton,"1,303",270,183,307
E05003225 : Penrith East,"2,233",625,353,411
E05003226 : Penrith North,"3,450",774,426,952
E05003227 : Penrith Pategill,"1,190",460,203,139
E05003228 : Penrith South,"2,091",587,353,337
E05003229 : Penrith West,"2,663",527,484,504
E05003230 : Ravenstonedale,825,163,97,274
E05003231 : Shap,"1,163",314,171,234
E05003232 : Skelton,"1,253",242,143,435
E05003233 : Ullswater,"1,219",202,124,459
E05003234 : Warcop,"1,132",252,131,327
E05003235 : Ambleside and Grasmere,"3,498",546,412,"1,204"
E05003236 : Arnside and Beetham,"3,637",579,367,"1,525"
E05003237 : Broughton,"1,906",321,201,747
E05003238 : Burneside,"1,586",360,208,473
E05003239 : Burton and Holme,"3,144",478,386,"1,128"
E05003240 : Cartmel and Grange West,"1,606",256,154,625
E05003241 : Coniston and Crake Valley,"1,403",243,168,506
E05003242 : Crooklands,"1,801",280,180,700
E05003243 : Grange North,"1,726",338,167,634
E05003244 : Grange South,"1,996",352,195,809
E05003245 : Hawkshead,"1,511",262,167,571
E05003246 : Holker,"1,597",386,205,368
E05003247 : Kendal Castle,"1,528",306,197,479
E05003248 : Kendal Far Cross,"1,673",488,261,306
E05003249 : Kendal Fell,"2,063",335,222,832
E05003250 : Kendal Heron Hill,"1,655",340,243,434
E05003251 : Kendal Highgate,"1,876",350,190,680
E05003252 : Kendal Kirkland,"1,510",447,228,273
E05003253 : Kendal Mintsfeet,"1,880",321,247,609
E05003254 : Kendal Nether,"1,823",454,228,469
E05003255 : Kendal Oxenholme and Natland,"1,671",261,197,639
E05003256 : Kendal Parks,"1,691",278,243,430
E05003257 : Kendal Romney,"1,675",405,223,464
E05003258 : Kendal Stonecross,"2,007",420,219,597
E05003259 : Kendal Strickland,"1,566",219,192,604
E05003260 : Kendal Underley,"1,734",414,264,413
E05003261 : Levens,"1,777",273,179,782
E05003262 : Low Furness,"1,441",255,135,582
E05003263 : Lyth Valley,"1,851",278,239,718
E05003264 : Mid Furness,"3,363",580,427,"1,181"
E05003265 : Milnthorpe,"1,789",405,241,429
E05003266 : Sedbergh and Kirkby Lonsdale,"5,278","1,022",595,"1,850"
E05003267 : Staveley-in-Cartmel,"1,755",334,180,676
E05003268 : Staveley-in-Westmorland,"1,797",340,195,632
E05003269 : Ulverston Central,"1,630",429,236,416
E05003270 : Ulverston East,"1,820",439,291,392
E05003271 : Ulverston North,"1,668",256,201,660
E05003272 : Ulverston South,"1,424",309,164,350
E05003273 : Ulverston Town,"1,574",313,203,497
E05003274 : Ulverston West,"1,716",267,161,677
E05003275 : Whinfell,"1,643",253,202,610
E05003276 : Windermere Applethwaite and Troutbeck,"1,978",385,213,691
E05003277 : Windermere Bowness North,"1,722",290,195,601
E05003278 : Windermere Bowness South,"1,977",320,244,627
E05003279 : Windermere Town,"1,811",396,267,387
E05000650 : Astley Bridge,"11,138","2,267","1,626","3,029"
E05000651 : Bradshaw,"9,390","1,997","1,234","2,688"
E05000652 : Breightmet,"10,845","3,400","1,745","1,529"
E05000653 : Bromley Cross,"11,426","1,667","1,278","4,188"
E05000654 : Crompton,"11,787","3,917","1,787","1,872"
E05000655 : Farnworth,"12,295","4,187","1,999","1,544"
E05000656 : Great Lever,"10,754","3,717","1,545","1,623"
E05000657 : Halliwell,"10,905","3,810","1,605","1,694"
E05000658 : Harper Green,"10,954","3,470","1,646","1,629"
E05000659 : Heaton and Lostock,"11,136","1,631","1,152","4,712"
E05000660 : Horwich and Blackrod,"10,416","2,341","1,392","2,736"
E05000661 : Horwich North East,"10,185","2,167","1,302","2,998"
E05000662 : Hulton,"10,957","2,883","1,529","2,429"
E05000663 : Kearsley,"11,374","3,071","1,894","1,981"
E05000664 : Little Lever and Darcy Lever,"10,425","2,702","1,605","1,843"
E05000665 : Rumworth,"11,923","4,241","1,626","1,838"
E05000666 : Smithills,"11,250","2,529","1,510","2,996"
E05000667 : Tonge with the Haulgh,"10,616","3,429","1,591","1,534"
E05000668 : Westhoughton North and Chew Moor,"11,618","2,290","1,555","3,344"
E05000669 : Westhoughton South,"10,316","2,172","1,531","2,481"
E05000670 : Besses,"8,374","2,080","1,376","1,664"
E05000671 : Church,"8,641","1,852","1,089","2,373"
E05000672 : East,"8,264","2,727","1,275","1,292"
E05000673 : Elton,"9,174","1,801","1,287","2,444"
E05000674 : Holyrood,"9,152","1,895","1,262","2,589"
E05000675 : Moorside,"9,448","2,776","1,523","1,629"
E05000676 : North Manor,"8,246","1,329",899,"3,098"
E05000677 : Pilkington Park,"8,058","1,589",960,"2,704"
E05000678 : Radcliffe East,"8,899","2,168","1,491","1,627"
E05000679 : Radcliffe North,"9,139","2,203","1,449","1,864"
E05000680 : Radcliffe West,"8,684","2,174","1,499","1,624"
E05000681 : Ramsbottom,"9,427","1,538","1,151","3,247"
E05000682 : Redvales,"9,048","2,379","1,278","1,875"
E05000683 : St Mary's,"8,450","1,895","1,007","2,650"
E05000684 : Sedgley,"9,200","1,818","1,207","2,906"
E05000685 : Tottington,"7,915","1,400","1,036","2,343"
E05000686 : Unsworth,"7,816","1,753","1,034","2,060"
E05000687 : Ancoats and Clayton,"13,464","3,412","1,348","4,654"
E05000688 : Ardwick,"15,884","2,930","1,387","3,941"
E05000689 : Baguley,"11,479","3,642","1,993","1,859"
E05000690 : Bradford,"12,360","3,846","1,473","3,056"
E05000691 : Brooklands,"11,565","3,019","1,741","2,659"
E05000692 : Burnage,"11,598","3,235","1,605","2,748"
E05000693 : Charlestown,"11,112","3,799","1,717","1,676"
E05000694 : Cheetham,"16,982","4,377","2,032","4,720"
E05000695 : Chorlton,"11,911","1,377",664,"7,214"
E05000696 : Chorlton Park,"12,330","2,103","1,052","6,089"
E05000697 : City Centre,"17,526",500,950,"8,668"
E05000698 : Crumpsall,"12,148","3,329","1,641","2,818"
E05000699 : Didsbury East,"11,885","1,427",864,"6,446"
E05000700 : Didsbury West,"10,962",882,487,"7,218"
E05000701 : Fallowfield,"12,811","2,163",982,"2,943"
E05000702 : Gorton North,"12,481","4,296","1,804","1,892"
E05000703 : Gorton South,"14,400","4,157","1,985","3,050"
E05000704 : Harpurhey,"13,526","4,958","1,909","2,017"
E05000705 : Higher Blackley,"10,671","3,620","1,632","1,640"
E05000706 : Hulme,"14,994","1,618","1,128","6,138"
E05000707 : Levenshulme,"12,608","2,002","1,165","3,519"
E05000708 : Longsight,"11,745","2,668","1,320","2,818"
E05000709 : Miles Platting and Newton Heath,"11,664","4,787","1,753","1,401"
E05000710 : Moss Side,"14,200","3,218","1,505","3,535"
E05000711 : Moston,"11,758","3,657","1,851","1,869"
E05000712 : Northenden,"11,672","3,331","1,660","2,827"
E05000713 : Old Moat,"12,355","2,052",873,"3,975"
E05000714 : Rusholme,"11,294","2,024",881,"3,218"
E05000715 : Sharston,"13,034","4,369","2,155","2,084"
E05000716 : Whalley Range,"12,355","1,945","1,104","5,362"
E05000717 : Withington,"12,293","1,165",574,"3,853"
E05000718 : Woodhouse Park,"10,642","3,857","1,746","1,336"
E05000719 : Alexandra,"8,906","3,609","1,309",989
E05000720 : Chadderton Central,"8,480","2,191","1,220","1,696"
E05000721 : Chadderton North,"8,508","2,290","1,275","1,696"
E05000722 : Chadderton South,"8,816","2,804","1,383","1,230"
E05000723 : Coldhurst,"9,010","3,845","1,476",901
E05000724 : Crompton,"8,825","2,109","1,185","1,936"
E05000725 : Failsworth East,"8,527","2,312","1,415","1,335"
E05000726 : Failsworth West,"8,282","2,598","1,281","1,139"
E05000727 : Hollinwood,"8,237","3,143","1,378",855
E05000728 : Medlock Vale,"9,103","3,024","1,428","1,344"
E05000729 : Royton North,"8,535","2,114","1,249","1,937"
E05000730 : Royton South,"8,993","2,341","1,230","1,847"
E05000731 : Saddleworth North,"8,040","1,309",886,"3,011"
E05000732 : Saddleworth South,"8,285","1,269",856,"3,290"
E05000733 : Saddleworth West and Lees,"9,109","1,861","1,191","2,364"
E05000734 : St James',"8,816","2,566","1,354","1,394"
E05000735 : St Mary's,"9,615","3,962","1,539","1,066"
E05000736 : Shaw,"8,485","2,183","1,222","1,757"
E05000737 : Waterhead,"9,206","2,911","1,386","1,355"
E05000738 : Werneth,"8,660","3,179","1,258","1,316"
E05000739 : Balderstone and Kirkholt,"7,966","2,496","1,206","1,288"
E05000740 : Bamford,"7,879","1,654",905,"2,637"
E05000741 : Castleton,"8,214","2,374","1,171","1,422"
E05000742 : Central Rochdale,"8,384","3,117","1,263","1,157"
E05000743 : East Middleton,"8,535","2,501","1,341","1,438"
E05000744 : Healey,"8,449","1,960","1,185","2,043"
E05000745 : Hopwood Hall,"9,335","2,589","1,511","1,746"
E05000746 : Kingsway,"8,744","2,863","1,355","1,257"
E05000747 : Littleborough Lakeside,"7,667","1,829","1,001","1,982"
E05000748 : Milkstone and Deeplish,"8,413","2,869","1,212","1,341"
E05000749 : Milnrow and Newhey,"8,359","1,810","1,167","1,991"
E05000750 : Norden,"7,807","1,128",968,"2,767"
E05000751 : North Heywood,"8,163","2,664","1,324","1,124"
E05000752 : North Middleton,"8,277","2,273","1,400","1,324"
E05000753 : Smallbridge and Firgrove,"8,469","3,058","1,360","1,039"
E05000754 : South Middleton,"8,018","1,896","1,112","1,983"
E05000755 : Spotland and Falinge,"8,356","2,660","1,208","1,457"
E05000756 : Wardle and West Littleborough,"8,247","1,669","1,043","2,187"
E05000757 : West Heywood,"8,670","2,851","1,468","1,095"
E05000758 : West Middleton,"8,964","3,645","1,321","1,093"
E05000759 : Barton,"9,882","2,978","1,616","1,513"
E05000760 : Boothstown and Ellenbrook,"7,702","1,228",970,"2,685"
E05000761 : Broughton,"10,292","4,005","1,292","1,634"
E05000762 : Cadishead,"8,100","2,229","1,489","1,286"
E05000763 : Claremont,"8,240","1,838","1,133","1,961"
E05000764 : Eccles,"9,413","2,331","1,080","2,888"
E05000765 : Irlam,"7,629","2,178","1,307","1,160"
E05000766 : Irwell Riverside,"11,123","2,532","1,166","2,671"
E05000767 : Kersal,"9,103","2,601","1,195","2,085"
E05000768 : Langworthy,"10,947","3,783","1,453","1,913"
E05000769 : Little Hulton,"9,635","3,512","1,638","1,083"
E05000770 : Ordsall,"12,809","2,012","1,040","5,828"
E05000771 : Pendlebury,"10,628","3,236","1,664","1,691"
E05000772 : Swinton North,"8,966","2,642","1,386","1,446"
E05000773 : Swinton South,"9,083","2,389","1,393","1,858"
E05000774 : Walkden North,"9,184","2,905","1,543","1,266"
E05000775 : Walkden South,"8,559","1,860","1,137","2,211"
E05000776 : Weaste and Seedley,"9,782","2,763","1,297","2,226"
E05000777 : Winton,"9,446","2,948","1,523","1,473"
E05000778 : Worsley,"8,257","1,205",867,"3,225"
E05000779 : Bramhall North,"10,608","1,346","1,114","4,548"
E05000780 : Bramhall South,"9,825","1,162",945,"4,391"
E05000781 : Bredbury and Woodley,"11,241","2,625","1,755","2,300"
E05000782 : Bredbury Green and Romiley,"11,458","2,796","1,652","2,893"
E05000783 : Brinnington and Central,"11,888","4,477","2,022","1,462"
E05000784 : Cheadle and Gatley,"11,887","2,090","1,281","4,738"
E05000785 : Cheadle Hulme North,"10,607","2,001","1,422","3,262"
E05000786 : Cheadle Hulme South,"10,931","1,475","1,289","4,208"
E05000787 : Davenport and Cale Green,"11,565","3,004","1,747","2,736"
E05000788 : Edgeley and Cheadle Heath,"11,361","2,704","1,694","2,822"
E05000789 : Hazel Grove,"11,402","2,146","1,590","3,238"
E05000790 : Heald Green,"10,238","2,009","1,410","2,793"
E05000791 : Heatons North,"10,986","1,828","1,087","4,599"
E05000792 : Heatons South,"11,362","1,715","1,170","4,744"
E05000793 : Manor,"10,863","2,409","1,845","2,181"
E05000794 : Marple North,"10,161","1,498","1,013","4,376"
E05000795 : Marple South,"9,614","1,970","1,178","3,018"
E05000796 : Offerton,"11,083","2,679","1,739","2,304"
E05000797 : Reddish North,"11,444","3,059","2,021","2,015"
E05000798 : Reddish South,"11,124","2,694","1,691","2,594"
E05000799 : Stepping Hill,"10,174","1,743","1,297","3,284"
