KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05008668 : Ellesmere Port Town,"4,076","1,896",675,"1,480",601
E05008669 : Elton,"1,948","1,641",708,98,185
E05008670 : Farndon,"1,718","1,242",690,124,258
E05008671 : Frodsham,"4,025","3,106","1,726",412,423
E05008672 : Garden Quarter,"2,029",695,306,191,"1,049"
E05008673 : Gowy,"1,633","1,307",785,126,168
E05008674 : Grange,"1,948",803,306,978,121
E05008675 : Great Boughton,"3,895","3,252","1,798",225,354
E05008676 : Handbridge Park,"4,094","3,149","1,858",258,636
E05008677 : Hartford and Greenbank,"3,479","2,797","1,376",264,362
E05008678 : Helsby,"2,143","1,735",904,142,231
E05008679 : Hoole,"4,100","2,666","1,167",452,928
E05008680 : Kingsley,"1,720","1,515",875,64,120
E05008681 : Lache,"2,514","1,401",489,758,303
E05008682 : Ledsham and Manor,"3,168","2,918","1,349",19,189
E05008683 : Little Neston and Burton,"3,677","3,102","1,707",231,298
E05008684 : Malpas,"1,709","1,188",664,183,285
E05008685 : Marbury,"5,097","4,186","2,138",438,389
E05008686 : Neston,"1,940","1,078",543,616,219
E05008687 : Netherpool,"1,457",807,320,417,202
E05008688 : Newton,"4,341","2,849","1,491",557,874
E05008689 : Parkgate,"1,639","1,398",868,59,155
E05008690 : Rossmore,"1,918",752,232,723,366
E05008691 : St Paul's,"3,993","2,545","1,178","1,007",357
E05008692 : Saughall and Mollington,"1,837","1,538",863,147,128
E05008693 : Shakerley,"1,716","1,334",741,205,154
E05008694 : Strawberry,"2,017","1,878",737,7,113
E05008695 : Sutton,"3,840","3,058","1,379",513,221
E05008696 : Tarporley,"1,924","1,516",890,160,197
E05008697 : Tarvin and Kelsall,"3,371","2,781","1,605",193,315
E05008698 : Tattenhall,"1,869","1,294",769,160,346
E05008699 : Upton,"3,638","2,695","1,466",433,450
E05008700 : Weaver and Cuddington,"5,456","4,232","2,265",748,395
E05008701 : Whitby,"3,294","2,994","1,464",56,215
E05008702 : Willaston and Thornton,"1,696","1,432",854,86,155
E05008703 : Winnington and Castle,"4,195","2,580","1,032",612,926
E05008704 : Winsford Over and Verdin,"5,537","3,463","1,396","1,449",498
E05008705 : Winsford Swanlow and Dene,"3,721","2,637","1,233",629,407
E05008706 : Winsford Wharton,"3,918","2,754","1,072",617,490
E05008707 : Witton and Rudheath,"3,505","2,329",985,715,385
E05001577 : Appleton,"3,055","1,695",747,704,608
E05001578 : Beechwood,"1,571","1,451",688,10,78
E05001579 : Birchfield,"2,556","2,310",724,22,212
E05001580 : Broadheath,"2,590","1,693",818,643,220
E05001581 : Halton Castle,"2,869","1,172",557,"1,462",131
E05001582 : Daresbury,"1,743","1,609",545,32,94
E05001583 : Ditton,"3,128","2,170","1,080",626,261
E05001584 : Farnworth,"3,070","2,583","1,233",211,243
E05001585 : Grange,"2,938","1,634",702,"1,054",210
E05001586 : Hale,787,703,384,23,54
E05001587 : Halton Brook,"2,716","1,707",759,760,209
E05001588 : Halton Lea,"2,803","1,132",462,"1,421",214
E05001589 : Halton View,"2,975","2,148","1,081",470,323
E05001590 : Heath,"2,514","2,123","1,072",157,207
E05001591 : Hough Green,"3,040","1,684",648,"1,113",182
E05001592 : Kingsway,"2,674","1,590",706,817,237
E05001593 : Mersey,"3,546","1,858",728,753,896
E05001594 : Norton North,"2,716","1,914",613,461,217
E05001595 : Norton South,"2,744","1,311",423,"1,209",185
E05001596 : Riverside,"2,297","1,102",388,771,390
E05001597 : Windmill Hill,980,207,78,722,41
E05001598 : Appleton,"4,173","3,708","1,999",228,178
E05001599 : Bewsey and Whitecross,"5,530","2,508",843,"1,529","1,379"
E05001600 : Birchwood,"4,839","2,979","1,134","1,323",447
E05001601 : Burtonwood and Winwick,"2,557","2,125","1,037",209,188
"E05001602 : Culcheth, Glazebury and Croft","4,457","3,661","1,988",409,345
E05001603 : Fairfield and Howley,"6,359","3,104","1,126","1,594","1,505"
E05001604 : Grappenhall and Thelwall,"3,969","3,525","1,850",169,219
E05001605 : Great Sankey North,"2,548","2,235","1,028",134,140
E05001606 : Great Sankey South,"4,335","3,398","1,361",485,384
"E05001607 : Hatton, Stretton and Walton","1,188","1,056",459,15,100
E05001608 : Latchford East,"3,731","1,915",764,"1,114",656
E05001609 : Latchford West,"3,275","2,266","1,211",286,695
E05001610 : Lymm,"5,171","4,076","1,992",386,622
E05001611 : Orford,"4,442","2,770","1,246","1,155",466
E05001612 : Penketh and Cuerdley,"3,526","3,183","1,732",77,228
E05001613 : Poplars and Hulme,"4,559","2,387",953,"1,814",290
E05001614 : Poulton North,"4,304","2,563","1,133","1,358",321
E05001615 : Poulton South,"2,726","2,430","1,260",118,156
E05001616 : Rixton and Woolston,"3,702","3,279","1,604",192,200
E05001617 : Stockton Heath,"2,728","2,168",988,196,332
E05001618 : Westbrook,"2,449","2,012",627,66,256
E05001619 : Whittle Hall,"4,572","3,567",871,461,442
E05003114 : All Saints,"2,139","1,545",919,341,203
E05003115 : Aspatria,"1,502",983,539,342,154
E05003116 : Boltons,784,593,419,43,122
E05003117 : Broughton St Bridget's,"1,729","1,343",725,212,151
E05003118 : Christchurch,"1,648","1,142",659,191,255
E05003119 : Clifton,710,438,217,202,55
E05003120 : Crummock,675,509,357,15,122
E05003121 : Dalton,776,641,407,16,106
E05003122 : Derwent Valley,642,502,344,48,67
E05003123 : Ellen,"1,367","1,059",590,194,95
E05003124 : Ellenborough,"1,659","1,078",591,443,113
E05003125 : Ewanrigg,"1,469",733,383,644,69
E05003126 : Flimby,749,449,244,234,57
E05003127 : Harrington,"1,337","1,193",653,42,89
E05003128 : Holme,734,511,322,82,121
E05003129 : Keswick,"2,370","1,522","1,034",495,275
E05003130 : Marsh,683,597,376,19,51
E05003131 : Moorclose,"2,246","1,050",522,"1,062",79
E05003132 : Moss Bay,"2,284",884,456,"1,219",142
E05003133 : Netherhall,"1,409",930,518,248,205
E05003134 : St John's,"2,487","1,948",993,139,346
E05003135 : St Michael's,"2,516","1,440",714,645,366
E05003136 : Seaton,"2,201","1,785",930,299,103
E05003137 : Silloth,"1,462","1,086",698,195,149
E05003138 : Solway,681,532,321,64,68
E05003139 : Stainburn,702,649,351,3,43
E05003140 : Wampool,697,566,359,43,64
E05003141 : Warnell,781,628,427,29,99
E05003142 : Waver,728,605,362,41,67
E05003143 : Wharrels,663,519,308,52,70
E05003144 : Wigton,"2,515","1,757",948,486,236
E05003145 : Barrow Island,"1,465",662,342,243,547
E05003146 : Central,"2,155","1,047",513,393,688
E05003147 : Dalton North,"2,553","2,217","1,063",52,246
E05003148 : Dalton South,"2,745","2,226","1,085",216,266
E05003149 : Hawcoat,"2,216","2,072","1,407",13,107
E05003150 : Hindpool,"3,021","1,515",724,566,897
E05003151 : Newbarns,"2,277","1,863",874,279,111
E05003152 : Ormsgill,"2,772","1,741",709,691,292
E05003153 : Parkside,"2,359","1,917",818,87,326
E05003154 : Risedale,"2,751","1,838",801,462,418
E05003155 : Roosecote,"2,050","1,900","1,006",18,111
E05003156 : Walney North,"2,455","1,952","1,082",289,185
E05003157 : Walney South,"2,405","1,988",999,145,248
E05003158 : Belah,"2,699","2,133","1,082",206,296
E05003159 : Belle Vue,"2,698","1,854",845,584,231
E05003160 : Botcherby,"2,855","1,613",640,940,251
E05003161 : Brampton,"2,105","1,292",707,448,317
E05003162 : Burgh,871,740,434,43,69
E05003163 : Castle,"2,926","1,341",609,461,"1,068"
E05003164 : Currock,"2,745","1,736",700,522,446
E05003165 : Dalston,"2,621","2,087","1,218",136,341
E05003166 : Denton Holme,"3,122","1,723",740,523,833
E05003167 : Great Corby and Geltsdale,940,736,430,54,134
E05003168 : Harraby,"2,973","2,041",875,492,392
E05003169 : Hayton,897,743,450,54,82
E05003170 : Irthing,843,665,408,34,124
E05003171 : Longtown & Rockcliffe,"1,813","1,226",702,249,285
E05003172 : Lyne,816,664,425,24,93
E05003173 : Morton,"2,913","1,869",966,839,152
E05003174 : St Aidans,"2,935","1,616",773,390,844
E05003175 : Stanwix Rural,"1,933","1,667",883,53,186
E05003176 : Stanwix Urban,"2,567","2,051","1,183",147,232
E05003177 : Upperby,"2,461","1,318",607,893,183
E05003178 : Wetheral,"2,014","1,698",988,74,208
E05003179 : Yewdale,"2,595","2,186","1,089",228,147
E05003180 : Arlecdon,660,539,297,45,60
E05003181 : Beckermet,"1,309","1,086",615,112,91
E05003182 : Bootle,584,419,278,53,91
E05003183 : Bransty,"2,047","1,765",765,158,108
E05003184 : Cleator Moor North,"1,804","1,216",591,421,151
E05003185 : Cleator Moor South,"1,245",756,400,359,114
E05003186 : Distington,"1,763","1,119",563,492,123
E05003187 : Egremont North,"1,878","1,288",620,412,160
E05003188 : Egremont South,"1,727","1,203",623,355,145
E05003189 : Ennerdale,447,361,228,29,45
E05003190 : Frizington,"1,122",764,401,256,79
E05003191 : Gosforth,644,522,367,28,80
E05003192 : Harbour,"2,100","1,110",599,599,287
E05003193 : Haverigg,574,466,285,56,43
E05003194 : Hensingham,"1,857","1,244",598,420,175
E05003195 : Hillcrest,"1,056","1,005",487,16,29
E05003196 : Holborn Hill,"1,061",746,396,192,107
E05003197 : Kells,"1,103",806,417,193,88
E05003198 : Millom Without,571,477,301,20,57
E05003199 : Mirehouse,"1,823","1,113",480,605,78
E05003200 : Moresby,546,426,192,65,50
E05003201 : Newtown,"1,585","1,099",621,243,214
E05003202 : St Bees,737,611,310,29,86
E05003203 : Sandwith,"1,057",476,244,467,92
E05003204 : Seascale,"1,236","1,054",637,43,112
E05003205 : Alston Moor,996,673,412,137,155
E05003206 : Appleby (Appleby),651,421,286,92,121
E05003207 : Appleby (Bongate),764,539,332,49,124
E05003208 : Askham,620,330,233,118,150
E05003209 : Brough,562,418,260,36,90
E05003210 : Crosby Ravensworth,574,424,265,20,110
E05003211 : Dacre,637,470,302,36,114
E05003212 : Eamont,635,515,350,28,84
E05003213 : Greystoke,639,464,331,51,97
E05003214 : Hartside,531,409,263,32,74
E05003215 : Hesket,"1,260",944,555,39,226
E05003216 : Kirkby Stephen,"1,170",794,542,143,204
E05003217 : Kirkby Thore,640,438,249,63,113
E05003218 : Kirkoswald,600,450,284,38,93
E05003219 : Langwathby,644,477,291,55,81
E05003220 : Lazonby,625,424,262,69,104
E05003221 : Long Marton,538,433,278,14,68
E05003222 : Morland,532,414,269,13,88
E05003223 : Orton with Tebay,589,448,270,41,88
E05003224 : Penrith Carleton,696,575,365,30,67
E05003225 : Penrith East,"1,200",838,479,203,141
E05003226 : Penrith North,"1,823","1,380",824,139,266
E05003227 : Penrith Pategill,663,338,178,237,76
E05003228 : Penrith South,"1,160",751,437,196,169
E05003229 : Penrith West,"1,488",834,347,292,297
E05003230 : Ravenstonedale,420,289,208,14,101
E05003231 : Shap,620,450,276,68,83
E05003232 : Skelton,608,456,291,13,110
E05003233 : Ullswater,595,438,312,40,86
E05003234 : Warcop,563,424,297,15,105
E05003235 : Ambleside and Grasmere,"1,775",993,711,411,311
E05003236 : Arnside and Beetham,"1,928","1,599","1,098",127,166
E05003237 : Broughton,998,801,538,64,116
E05003238 : Burneside,826,553,320,155,105
E05003239 : Burton and Holme,"1,609","1,319",722,53,212
E05003240 : Cartmel and Grange West,822,684,453,47,80
E05003241 : Coniston and Crake Valley,717,481,358,87,119
E05003242 : Crooklands,913,763,463,22,106
E05003243 : Grange North,"1,007",752,569,107,116
E05003244 : Grange South,"1,084",926,677,66,78
E05003245 : Hawkshead,804,483,357,86,197
E05003246 : Holker,831,606,381,33,146
E05003247 : Kendal Castle,790,632,387,62,79
E05003248 : Kendal Far Cross,953,605,289,238,90
E05003249 : Kendal Fell,"1,223",683,389,121,393
E05003250 : Kendal Heron Hill,895,808,485,6,65
E05003251 : Kendal Highgate,"1,077",652,356,174,237
E05003252 : Kendal Kirkland,841,426,182,262,129
E05003253 : Kendal Mintsfeet,"1,006",748,396,46,191
E05003254 : Kendal Nether,909,735,405,79,80
E05003255 : Kendal Oxenholme and Natland,889,775,444,8,95
E05003256 : Kendal Parks,840,748,360,12,70
E05003257 : Kendal Romney,942,644,343,175,106
E05003258 : Kendal Stonecross,"1,040",913,563,53,59
E05003259 : Kendal Strickland,893,690,365,55,131
E05003260 : Kendal Underley,934,567,280,247,96
E05003261 : Levens,943,779,541,39,98
E05003262 : Low Furness,728,650,425,7,61
E05003263 : Lyth Valley,965,742,478,40,153
E05003264 : Mid Furness,"1,725","1,412",814,114,175
E05003265 : Milnthorpe,947,658,376,155,118
E05003266 : Sedbergh and Kirkby Lonsdale,"2,719","1,818","1,221",267,519
E05003267 : Staveley-in-Cartmel,914,652,438,39,201
E05003268 : Staveley-in-Westmorland,960,721,496,73,138
E05003269 : Ulverston Central,774,530,290,152,79
E05003270 : Ulverston East,"1,005",658,274,220,117
E05003271 : Ulverston North,960,692,388,82,155
E05003272 : Ulverston South,739,636,366,62,37
E05003273 : Ulverston Town,"1,006",593,317,143,244
E05003274 : Ulverston West,904,791,559,17,82
E05003275 : Whinfell,790,648,399,22,98
E05003276 : Windermere Applethwaite and Troutbeck,"1,030",577,427,204,213
E05003277 : Windermere Bowness North,896,664,429,54,166
E05003278 : Windermere Bowness South,"1,059",601,406,129,286
E05003279 : Windermere Town,942,559,258,238,120
E05000650 : Astley Bridge,"5,908","4,357","2,024",700,746
E05000651 : Bradshaw,"4,936","3,919","2,200",685,266
E05000652 : Breightmet,"5,897","3,336","1,581","1,997",438
E05000653 : Bromley Cross,"5,913","4,976","2,500",251,625
E05000654 : Crompton,"6,371","3,222","1,518","1,779","1,206"
E05000655 : Farnworth,"6,847","3,251","1,372","2,316","1,079"
E05000656 : Great Lever,"5,388","2,332","1,144","1,729","1,132"
E05000657 : Halliwell,"6,302","2,185","1,129","2,335","1,580"
E05000658 : Harper Green,"5,514","3,222","1,433","1,638",509
E05000659 : Heaton and Lostock,"5,412","4,719","2,633",168,454
E05000660 : Horwich and Blackrod,"5,560","4,083","1,780",625,755
E05000661 : Horwich North East,"5,418","3,928","1,959",919,502
E05000662 : Hulton,"5,873","3,967","1,946",990,797
E05000663 : Kearsley,"6,275","4,067","1,645","1,225",877
E05000664 : Little Lever and Darcy Lever,"5,521","4,088","1,958",785,547
E05000665 : Rumworth,"5,982","2,854","1,707","1,792","1,113"
E05000666 : Smithills,"5,965","4,089","1,978",969,803
E05000667 : Tonge with the Haulgh,"5,856","2,979","1,369","1,574","1,171"
E05000668 : Westhoughton North and Chew Moor,"6,020","4,681","2,044",523,736
E05000669 : Westhoughton South,"5,413","3,915","1,458",825,594
E05000670 : Besses,"4,555","2,710","1,174","1,236",556
E05000671 : Church,"4,452","3,598","1,904",396,400
E05000672 : East,"4,493","2,312","1,024","1,223",835
E05000673 : Elton,"4,775","3,491","1,523",570,658
E05000674 : Holyrood,"4,765","3,595","1,679",421,687
E05000675 : Moorside,"5,095","2,872","1,243","1,267",836
E05000676 : North Manor,"4,189","3,642","2,063",173,324
E05000677 : Pilkington Park,"4,171","3,408","1,754",187,514
E05000678 : Radcliffe East,"4,824","3,097","1,263",809,827
E05000679 : Radcliffe North,"4,894","3,489","1,559",910,417
E05000680 : Radcliffe West,"4,850","2,788","1,029","1,126",876
E05000681 : Ramsbottom,"5,003","3,787","1,574",466,679
E05000682 : Redvales,"4,817","2,896","1,274",987,820
E05000683 : St Mary's,"4,582","2,953","1,330",811,744
E05000684 : Sedgley,"4,542","3,140","1,379",473,862
E05000685 : Tottington,"3,991","3,432","1,472",154,370
E05000686 : Unsworth,"4,115","3,185","1,595",494,369
E05000687 : Ancoats and Clayton,"7,841","1,740",634,"2,530","3,365"
E05000688 : Ardwick,"6,436",944,364,"3,483","1,845"
E05000689 : Baguley,"6,470","2,759",919,"2,862",690
E05000690 : Bradford,"7,039","1,870",734,"2,995","1,997"
E05000691 : Brooklands,"6,551","3,458","1,257","2,190",768
E05000692 : Burnage,"5,789","2,708","1,054","2,147",755
E05000693 : Charlestown,"6,237","2,594","1,016","2,844",662
E05000694 : Cheetham,"8,273","2,326","1,080","2,674","3,063"
E05000695 : Chorlton,"6,188","3,470","1,366",587,"2,061"
E05000696 : Chorlton Park,"6,659","3,219","1,089","1,683","1,627"
E05000697 : City Centre,"8,052","2,068",701,543,"5,225"
E05000698 : Crumpsall,"6,510","2,996","1,294","1,391","1,944"
E05000699 : Didsbury East,"5,970","3,844","1,752",586,"1,436"
E05000700 : Didsbury West,"6,103","2,696","1,108",550,"2,793"
E05000701 : Fallowfield,"4,632","1,506",593,"1,518","1,488"
E05000702 : Gorton North,"7,052","2,685","1,191","2,265","1,891"
E05000703 : Gorton South,"7,830","3,083","1,124","2,356","2,164"
E05000704 : Harpurhey,"7,810","2,389","1,026","3,321","1,875"
E05000705 : Higher Blackley,"6,063","2,721","1,214","2,424",804
E05000706 : Hulme,"7,309","1,370",339,"2,784","3,018"
E05000707 : Levenshulme,"5,366","2,750","1,195",603,"1,929"
E05000708 : Longsight,"4,767","1,569",686,"1,353","1,712"
E05000709 : Miles Platting and Newton Heath,"6,846","2,030",851,"3,602","1,050"
E05000710 : Moss Side,"6,847","1,418",642,"3,026","2,214"
E05000711 : Moston,"6,115","3,875","1,756","1,319",820
E05000712 : Northenden,"6,268","2,936","1,159","2,321",867
E05000713 : Old Moat,"5,423","1,745",731,"1,631","1,924"
E05000714 : Rusholme,"4,468","1,426",626,"1,178","1,733"
E05000715 : Sharston,"7,254","2,693",880,"3,575",860
E05000716 : Whalley Range,"6,185","2,746","1,205","1,020","2,301"
E05000717 : Withington,"4,753","1,534",786,584,"2,549"
E05000718 : Woodhouse Park,"5,863","2,227",773,"2,737",740
E05000719 : Alexandra,"4,789","1,874",820,"2,043",775
E05000720 : Chadderton Central,"4,332","3,225","1,459",609,445
E05000721 : Chadderton North,"4,313","3,189","1,486",661,388
E05000722 : Chadderton South,"4,713","3,161","1,378",925,577
E05000723 : Coldhurst,"4,278","1,704",644,"1,980",492
E05000724 : Crompton,"4,617","3,688","1,921",474,377
E05000725 : Failsworth East,"4,515","3,295","1,465",624,526
E05000726 : Failsworth West,"4,488","2,991","1,463",854,581
E05000727 : Hollinwood,"4,515","2,028",959,"1,826",589
E05000728 : Medlock Vale,"4,540","2,578","1,049","1,162",713
E05000729 : Royton North,"4,399","3,310","1,674",731,290
E05000730 : Royton South,"4,699","3,584","1,671",579,479
E05000731 : Saddleworth North,"4,068","3,330","1,731",269,411
E05000732 : Saddleworth South,"4,355","3,489","1,893",284,515
E05000733 : Saddleworth West and Lees,"4,764","3,744","1,732",352,602
E05000734 : St James',"4,734","2,837",996,"1,271",573
E05000735 : St Mary's,"4,358","2,184","1,134","1,267",751
E05000736 : Shaw,"4,582","3,060","1,373",840,601
E05000737 : Waterhead,"4,977","2,915","1,155","1,225",731
E05000738 : Werneth,"3,667","2,073","1,190",942,528
E05000739 : Balderstone and Kirkholt,"4,429","1,992",833,"1,831",526
E05000740 : Bamford,"3,931","3,068","1,679",336,473
E05000741 : Castleton,"4,315","2,836","1,324",703,691
E05000742 : Central Rochdale,"4,281","1,718",806,"1,707",742
E05000743 : East Middleton,"4,683","3,145","1,360",861,595
E05000744 : Healey,"4,142","3,097","1,419",523,460
E05000745 : Hopwood Hall,"5,036","3,162","1,373","1,166",587
E05000746 : Kingsway,"4,476","2,396",975,"1,321",684
E05000747 : Littleborough Lakeside,"4,071","3,046","1,524",346,617
E05000748 : Milkstone and Deeplish,"3,764","1,809","1,003","1,036",773
E05000749 : Milnrow and Newhey,"4,390","3,246","1,457",477,588
E05000750 : Norden,"3,864","3,374","1,513",74,379
E05000751 : North Heywood,"4,644","2,420",997,"1,355",782
E05000752 : North Middleton,"4,453","3,036","1,196",704,647
E05000753 : Smallbridge and Firgrove,"4,674","1,937",693,"2,079",570
E05000754 : South Middleton,"4,211","3,294","1,699",552,295
E05000755 : Spotland and Falinge,"4,176","2,440","1,172","1,053",621
E05000756 : Wardle and West Littleborough,"4,230","3,307","1,362",300,580
E05000757 : West Heywood,"4,725","2,653","1,123","1,499",499
E05000758 : West Middleton,"5,057","2,173",826,"2,324",447
E05000759 : Barton,"5,791","2,738","1,052","1,958",933
