KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05001136 : Bede,"3,410","1,652",675,"1,557",173
E05001137 : Biddick and All Saints,"3,968","1,640",621,"1,838",452
E05001138 : Boldon Colliery,"4,119","2,612","1,046","1,094",355
E05001139 : Cleadon and East Boldon,"3,621","3,305","1,852",115,175
E05001140 : Cleadon Park,"3,059","1,457",748,"1,416",149
E05001141 : Fellgate and Hedworth,"3,419","1,972",860,"1,244",181
E05001142 : Harton,"3,720","2,250","1,113","1,204",205
E05001143 : Hebburn North,"3,945","1,979",557,"1,444",483
E05001144 : Hebburn South,"3,476","2,128",944,"1,110",199
E05001145 : Horsley Hill,"4,035","2,462","1,182","1,153",289
E05001146 : Monkton,"3,683","2,255",976,"1,050",337
E05001147 : Primrose,"3,594","1,563",603,"1,639",354
E05001148 : Simonside and Rekendyke,"4,379","1,744",802,"1,920",664
E05001149 : Westoe,"3,638","2,462","1,122",459,646
E05001150 : West Park,"3,765","2,426","1,055",360,940
E05001151 : Whitburn and Marsden,"3,323","2,227","1,077",872,182
E05001152 : Whiteleas,"3,697","2,002",812,"1,458",204
E05001153 : Barnes,"4,562","3,399","1,727",509,595
E05001154 : Castle,"4,640","2,414",945,"1,808",376
E05001155 : Copt Hill,"4,789","3,183","1,509","1,074",480
E05001156 : Doxford,"4,134","2,839","1,138",915,287
E05001157 : Fulwell,"4,973","4,451","2,335",120,346
E05001158 : Hendon,"5,798","1,940",834,"2,021","1,789"
E05001159 : Hetton,"4,982","2,896","1,488","1,554",479
E05001160 : Houghton,"4,885","3,242","1,474","1,187",410
E05001161 : Millfield,"4,839","2,586","1,134",637,"1,538"
E05001162 : Pallion,"4,290","2,195","1,022","1,477",584
E05001163 : Redhill,"5,063","2,263",951,"2,328",449
E05001164 : Ryhope,"4,454","2,792","1,147","1,174",444
E05001165 : St Anne's,"4,528","2,468",952,"1,657",374
E05001166 : St Chad's,"4,441","2,618","1,342","1,456",325
E05001167 : St Michael's,"5,065","3,167","1,678",770,"1,070"
E05001168 : St Peter's,"4,931","3,177","1,616",687,983
E05001169 : Sandhill,"5,115","2,393","1,090","2,327",344
E05001170 : Shiney Row,"5,320","3,553","1,536","1,231",498
E05001171 : Silksworth,"4,562","2,908","1,420","1,184",412
E05001172 : Southwick,"4,870","2,159","1,042","1,914",759
E05001173 : Washington Central,"4,846","3,112","1,333","1,304",389
E05001174 : Washington East,"4,363","2,866","1,150","1,128",329
E05001175 : Washington North,"5,062","2,535","1,016","1,860",627
E05001176 : Washington South,"4,384","3,115","1,185",911,305
E05001177 : Washington West,"4,862","3,295","1,355","1,166",360
E05001620 : Audley,"3,141","1,409",942,"1,236",386
E05001621 : Bastwell,"2,123","1,284",827,414,368
E05001622 : Beardwood with Lammack,"2,184","1,969","1,064",29,152
E05001623 : Corporation Park,"2,234","1,694",867,96,399
E05001624 : Earcroft,"1,949","1,109",496,409,395
E05001625 : East Rural,826,747,387,4,67
E05001626 : Ewood,"3,022","1,712",707,544,700
E05001627 : Fernhurst,"2,227","1,975",577,11,222
E05001628 : Higher Croft,"3,127","1,646",535,"1,057",367
E05001629 : Little Harwood,"2,432","1,573",918,445,363
E05001630 : Livesey with Pleasington,"2,825","2,520","1,359",86,192
E05001631 : Marsh House,"2,784","2,011",827,345,386
E05001632 : Meadowhead,"2,465","1,709",859,473,229
E05001633 : Mill Hill,"2,905","1,501",597,661,674
E05001634 : North Turton with Tockholes,"1,822","1,609",776,30,172
E05001635 : Queen's Park,"2,467","1,237",673,646,534
E05001636 : Roe Lee,"2,581","2,117","1,107",181,251
E05001637 : Shadsworth with Whitebirk,"3,334","1,340",584,"1,503",421
E05001638 : Shear Brow,"2,352","1,526","1,044",405,347
E05001639 : Sudell,"3,150","1,655",792,649,780
E05001640 : Sunnyhurst,"2,680","1,873",874,136,627
E05001641 : Wensley Fold,"2,980","1,184",618,999,687
E05001642 : Whitehall,"1,743","1,393",609,32,274
E05001643 : Anchorsholme,"3,160","2,422","1,379",170,509
E05001644 : Bispham,"2,912","2,140","1,147",41,701
E05001645 : Bloomfield,"3,132",977,453,414,"1,703"
E05001646 : Brunswick,"3,297","1,490",661,743,"1,020"
E05001647 : Claremont,"3,595","1,257",550,587,"1,669"
E05001648 : Clifton,"3,194","1,861",820,791,495
E05001649 : Greenlands,"3,082","2,219",975,336,474
E05001650 : Hawes Side,"3,245","2,054",961,377,769
E05001651 : Highfield,"2,902","2,143","1,095",271,444
E05001652 : Ingthorpe,"3,220","1,961",921,800,392
E05001653 : Layton,"3,073","2,041",916,214,782
E05001654 : Marton,"3,015","2,375","1,085",61,543
E05001655 : Norbreck,"2,753","2,381","1,369",40,304
E05001656 : Park,"3,273","1,463",638,"1,354",366
E05001657 : Squires Gate,"2,741","2,047","1,050",71,593
E05001658 : Stanley,"2,991","2,329","1,211",203,428
E05001659 : Talbot,"3,075","1,289",634,91,"1,657"
E05001660 : Tyldesley,"2,975","1,926",916,193,816
E05001661 : Victoria,"3,039","1,887",888,201,907
E05001662 : Warbreck,"2,776","1,811",891,22,911
E05001663 : Waterloo,"2,917","1,577",758,19,"1,287"
E05008610 : Alderley Edge,"2,197","1,664",950,160,334
E05008611 : Alsager,"5,183","4,042","2,234",584,484
E05008612 : Audlem,"1,972","1,586",942,108,223
E05008613 : Bollington,"3,770","2,796","1,345",327,608
E05008614 : Brereton Rural,"1,985","1,607",873,122,213
E05008615 : Broken Cross and Upton,"3,537","2,757","1,201",370,365
E05008616 : Bunbury,"1,917","1,453",741,156,264
E05008617 : Chelford,"1,697","1,334",811,120,199
E05008618 : Congleton East,"5,658","4,211","2,095",881,480
E05008619 : Congleton West,"5,903","4,455","2,382",628,729
E05008620 : Crewe Central,"2,557",915,379,715,878
E05008621 : Crewe East,"6,197","4,368","2,142",954,796
E05008622 : Crewe North,"2,060","1,476",730,303,257
E05008623 : Crewe St Barnabas,"2,303","1,046",397,814,392
E05008624 : Crewe South,"4,843","2,675","1,163",714,"1,396"
E05008625 : Crewe West,"4,447","2,955","1,345",792,642
E05008626 : Dane Valley,"3,891","3,306","1,876",251,267
E05008627 : Disley,"1,902","1,570",824,109,179
E05008628 : Gawsworth,"1,656","1,263",769,138,209
E05008629 : Handforth,"4,241","2,513","1,186","1,155",464
E05008630 : Haslington,"3,284","2,774","1,440",142,308
E05008631 : High Legh,"1,857","1,377",783,102,319
E05008632 : Knutsford,"5,910","4,252","2,278",888,677
E05008633 : Leighton,"1,959","1,761",392,37,150
E05008634 : Macclesfield Central,"4,507","2,721","1,078",332,"1,392"
E05008635 : Macclesfield East,"1,988","1,450",671,247,262
E05008636 : Macclesfield Hurdsfield,"2,185","1,199",496,666,271
E05008637 : Macclesfield South,"3,666","2,318","1,032",906,381
E05008638 : Macclesfield Tytherington,"3,720","3,155","1,561",177,330
E05008639 : Macclesfield West and Ivy,"3,586","2,405","1,106",871,236
E05008640 : Middlewich,"5,671","4,390","1,819",622,582
E05008641 : Mobberley,"1,962","1,544",859,90,286
E05008642 : Nantwich North and West,"4,179","2,663","1,439",822,596
E05008643 : Nantwich South and Stapeley,"3,765","2,937","1,434",177,588
E05008644 : Odd Rode,"3,652","2,996","1,675",298,301
E05008645 : Poynton East and Pott Shrigley,"3,297","2,923","1,777",73,249
E05008646 : Poynton West and Adlington,"3,473","2,930","1,538",293,215
E05008647 : Prestbury,"1,814","1,567",984,79,128
E05008648 : Sandbach Elworth,"1,837","1,546",750,71,207
E05008649 : Sandbach Ettiley Heath and Wheelock,"1,816","1,495",606,90,209
E05008650 : Sandbach Heath and East,"1,995","1,394",774,386,181
E05008651 : Sandbach Town,"2,192","1,713",948,186,259
E05008652 : Shavington,"1,757","1,538",901,44,156
E05008653 : Sutton,"1,834","1,447",841,174,161
E05008654 : Willaston and Rope,"1,995","1,794",944,50,139
E05008655 : Wilmslow Dean Row,"1,921","1,529",628,58,318
