KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05001175 : Washington North,"8,345",354,"1,725",660
E05001176 : Washington South,"8,085",678,930,324
E05001177 : Washington West,"8,890",622,"1,327",396
E05001620 : Audley,"6,198",171,"1,092","1,300"
E05001621 : Bastwell,"5,167",177,755,"1,292"
E05001622 : Beardwood with Lammack,"4,283",633,215,224
E05001623 : Corporation Park,"4,904",329,529,810
E05001624 : Earcroft,"3,114",163,530,221
E05001625 : East Rural,"1,516",201,127,21
E05001626 : Ewood,"5,014",269,852,356
E05001627 : Fernhurst,"4,335",474,363,71
E05001628 : Higher Croft,"5,506",326,"1,028",451
E05001629 : Little Harwood,"4,552",204,731,652
E05001630 : Livesey with Pleasington,"4,899",552,386,93
E05001631 : Marsh House,"4,826",361,665,171
E05001632 : Meadowhead,"4,160",235,684,259
E05001633 : Mill Hill,"4,575",176,926,394
E05001634 : North Turton with Tockholes,"3,362",653,147,48
E05001635 : Queen's Park,"4,709",318,731,704
E05001636 : Roe Lee,"4,355",381,425,224
E05001637 : Shadsworth with Whitebirk,"5,778",146,"1,285",810
E05001638 : Shear Brow,"5,381",310,663,"1,129"
E05001639 : Sudell,"4,967",221,948,521
E05001640 : Sunnyhurst,"4,592",338,560,226
E05001641 : Wensley Fold,"5,145",169,923,874
E05001642 : Whitehall,"3,079",288,321,95
E05001643 : Anchorsholme,"4,433",240,487,131
E05001644 : Bispham,"4,577",334,502,171
E05001645 : Bloomfield,"5,453",111,"1,120",638
E05001646 : Brunswick,"5,214",194,912,624
E05001647 : Claremont,"5,713",116,"1,124",719
E05001648 : Clifton,"4,955",165,856,391
E05001649 : Greenlands,"4,992",278,647,213
E05001650 : Hawes Side,"5,160",179,794,329
E05001651 : Highfield,"4,649",250,577,196
E05001652 : Ingthorpe,"4,867",267,662,288
E05001653 : Layton,"4,955",253,687,286
E05001654 : Marton,"5,050",337,535,154
E05001655 : Norbreck,"4,286",347,367,100
E05001656 : Park,"5,280",236,872,506
E05001657 : Squires Gate,"4,495",325,459,190
E05001658 : Stanley,"4,786",310,501,165
E05001659 : Talbot,"5,190",167,833,416
E05001660 : Tyldesley,"4,862",228,677,306
E05001661 : Victoria,"4,884",162,825,336
E05001662 : Warbreck,"4,931",275,571,301
E05001663 : Waterloo,"5,081",257,714,394
E05008610 : Alderley Edge,"3,282",788,123,57
E05008611 : Alsager,"8,523","1,203",736,212
E05008612 : Audlem,"3,487",513,224,92
E05008613 : Bollington,"6,175","1,005",495,121
E05008614 : Brereton Rural,"3,718",565,280,92
E05008615 : Broken Cross and Upton,"6,293","1,091",442,228
E05008616 : Bunbury,"3,639",569,226,85
E05008617 : Chelford,"2,771",560,132,64
E05008618 : Congleton East,"9,784","1,287","1,161",326
E05008619 : Congleton West,"9,624","1,265","1,025",337
E05008620 : Crewe Central,"3,991",177,874,374
E05008621 : Crewe East,"11,378",540,"1,848",566
E05008622 : Crewe North,"3,481",150,683,185
E05008623 : Crewe St Barnabas,"3,867",157,929,364
E05008624 : Crewe South,"8,683",514,"1,649",543
E05008625 : Crewe West,"7,675",452,"1,364",394
E05008626 : Dane Valley,"6,579","1,288",364,129
E05008627 : Disley,"3,223",521,206,64
E05008628 : Gawsworth,"2,846",510,140,54
E05008629 : Handforth,"6,653",858,596,258
E05008630 : Haslington,"6,025",792,523,113
E05008631 : High Legh,"3,254",621,160,101
E05008632 : Knutsford,"9,263","1,864",642,263
E05008633 : Leighton,"3,996",426,388,63
E05008634 : Macclesfield Central,"6,967",925,687,253
E05008635 : Macclesfield East,"3,271",460,303,89
E05008636 : Macclesfield Hurdsfield,"3,266",285,532,167
E05008637 : Macclesfield South,"6,224",607,817,301
E05008638 : Macclesfield Tytherington,"6,492","1,220",392,156
E05008639 : Macclesfield West and Ivy,"6,050",590,754,284
E05008640 : Middlewich,"10,070","1,099","1,303",319
E05008641 : Mobberley,"3,441",598,175,155
E05008642 : Nantwich North and West,"6,263",714,744,231
E05008643 : Nantwich South and Stapeley,"6,163","1,094",392,127
E05008644 : Odd Rode,"6,344",728,560,139
E05008645 : Poynton East and Pott Shrigley,"5,522",926,254,83
E05008646 : Poynton West and Adlington,"6,075","1,029",295,123
E05008647 : Prestbury,"2,990",736,76,59
E05008648 : Sandbach Elworth,"3,266",415,325,81
E05008649 : Sandbach Ettiley Heath and Wheelock,"3,284",454,321,80
E05008650 : Sandbach Heath and East,"3,176",317,404,129
E05008651 : Sandbach Town,"3,602",564,293,100
E05008652 : Shavington,"2,871",275,312,58
E05008653 : Sutton,"3,108",589,180,90
E05008654 : Willaston and Rope,"3,562",513,247,53
E05008655 : Wilmslow Dean Row,"3,392",745,117,96
E05008656 : Wilmslow East,"2,945",780,71,66
E05008657 : Wilmslow Lacey Green,"3,479",554,318,268
E05008658 : Wilmslow West and Chorley,"6,784","1,675",270,130
E05008659 : Wistaston,"6,888",852,568,156
E05008660 : Wrenbury,"3,392",501,258,70
E05008661 : Wybunbury,"3,856",707,208,60
E05008662 : Blacon,"9,914",369,"1,756",687
E05008663 : Boughton,"4,391",645,366,193
E05008664 : Chester City,"3,175",400,301,124
E05008665 : Chester Villages,"6,157","1,179",303,116
E05008666 : Davenham and Moulton,"9,872","1,502",885,229
E05008667 : Dodleston and Huntington,"2,914",523,168,63
E05008668 : Ellesmere Port Town,"6,701",209,"1,348",552
E05008669 : Elton,"3,516",305,377,111
E05008670 : Farndon,"2,900",500,166,66
E05008671 : Frodsham,"6,539","1,050",584,225
E05008672 : Garden Quarter,"4,895",329,260,111
E05008673 : Gowy,"2,850",554,181,68
E05008674 : Grange,"3,216",96,614,277
E05008675 : Great Boughton,"6,325",946,448,106
E05008676 : Handbridge Park,"6,449","1,387",384,165
E05008677 : Hartford and Greenbank,"6,098","1,081",473,166
E05008678 : Helsby,"3,586",507,293,61
E05008679 : Hoole,"7,136","1,140",592,223
E05008680 : Kingsley,"3,119",588,160,53
E05008681 : Lache,"4,280",341,655,276
E05008682 : Ledsham and Manor,"5,948",754,484,79
E05008683 : Little Neston and Burton,"6,387",863,493,146
E05008684 : Malpas,"2,895",366,274,80
E05008685 : Marbury,"9,039","1,194",864,246
E05008686 : Neston,"3,120",313,383,145
E05008687 : Netherpool,"2,360",135,432,165
E05008688 : Newton,"7,273","1,040",562,260
E05008689 : Parkgate,"2,632",559,112,53
E05008690 : Rossmore,"2,872",142,490,276
E05008691 : St Paul's,"6,540",397,951,311
E05008692 : Saughall and Mollington,"3,253",478,217,73
E05008693 : Shakerley,"3,040",370,325,92
E05008694 : Strawberry,"3,858",434,292,68
E05008695 : Sutton,"6,817",407,930,244
E05008696 : Tarporley,"3,199",591,211,52
E05008697 : Tarvin and Kelsall,"5,886",995,384,125
E05008698 : Tattenhall,"3,254",516,236,54
E05008699 : Upton,"6,091",935,467,188
E05008700 : Weaver and Cuddington,"9,212","1,214",975,288
E05008701 : Whitby,"5,932",575,562,136
E05008702 : Willaston and Thornton,"2,796",573,117,62
E05008703 : Winnington and Castle,"6,891",514,973,367
E05008704 : Winsford Over and Verdin,"9,801",826,"1,578",534
E05008705 : Winsford Swanlow and Dene,"6,653",424,"1,026",389
E05008706 : Winsford Wharton,"7,159",452,"1,254",390
E05008707 : Witton and Rudheath,"6,214",391,"1,064",326
E05001577 : Appleton,"4,940",203,865,385
E05001578 : Beechwood,"2,970",293,316,65
E05001579 : Birchfield,"5,132",844,238,81
E05001580 : Broadheath,"4,613",188,797,317
