KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05008273 : Probus,"2,786",264,223,55
E05008274 : Rame,"3,577",386,332,86
E05008275 : Redruth Central,"3,027",189,428,119
E05008276 : Redruth North,"3,088",114,546,202
E05008277 : Redruth South,"3,035",197,437,90
E05008278 : Roche,"2,848",140,469,93
E05008279 : Roseland,"2,474",271,177,65
E05008280 : St Agnes,"3,259",423,212,82
E05008281 : St Austell Bay,"3,041",305,309,85
E05008282 : St Austell Bethel,"3,384",186,444,123
E05008283 : St Austell Gover,"3,056",239,384,210
E05008284 : St Austell Poltair,"3,117",138,431,140
E05008285 : St Blaise,"3,293",122,589,202
E05008286 : St Buryan,"3,395",293,312,103
E05008287 : St Cleer,"3,323",299,300,63
E05008288 : St Columb,"3,693",202,479,120
E05008289 : St Day and Lanner,"3,321",240,378,113
E05008290 : St Dennis,"3,297",132,578,149
E05008291 : St Endellion,"2,227",192,176,55
E05008292 : St Enoder,"3,329",173,445,101
E05008293 : St Germans,"3,224",427,226,77
E05008294 : St Issey,"3,023",260,247,76
E05008295 : St Ive,"3,193",300,330,76
E05008296 : St Ives North,"2,937",153,389,95
E05008297 : St Ives South,"2,874",196,317,81
E05008298 : St Just in Penwith,"3,594",220,357,109
E05008299 : St Keverne and Meneage,"4,013",392,275,80
E05008300 : St Mewan,"2,757",211,264,83
E05008301 : St Stephen,"3,438",173,526,145
E05008302 : St Teath,"2,895",184,352,96
E05008303 : Saltash Burraton,"2,780",325,259,46
E05008304 : Saltash Essa,"2,837",177,344,85
E05008305 : Saltash Pill,"3,107",291,314,100
E05008306 : Saltash St Stephens,"3,460",311,354,80
E05008307 : Stithians,"3,799",362,360,137
E05008308 : Stokeclimsland,"2,807",355,219,53
E05008309 : Threemilestone and Gloweth,"3,217",363,302,88
E05008310 : Tintagel,"3,001",220,274,89
E05008311 : Torpoint East,"2,741",156,403,108
E05008312 : Torpoint West,"2,929",204,308,68
E05008313 : Troon and Beacon,"3,834",164,648,269
E05008314 : Truro Boscawen,"3,669",512,254,92
E05008315 : Truro Moresk,"3,321",409,296,84
E05008316 : Truro Tregolls,"3,677",378,477,141
E05008317 : Truro Trehaverne,"2,880",265,330,110
E05008318 : Tywardreath,"3,506",194,424,105
E05008319 : Wadebridge East,"3,087",234,305,76
E05008320 : Wadebridge West,"2,695",180,310,116
E05008321 : Wendron,"3,708",343,335,67
E05008323 : St. Agnes,129,8,6,0
E05008324 : St. Martin's,102,4,4,2
E05008325 : St. Mary's,"1,249",71,124,15
E05008326 : Tresco,142,10,20,0
E05008601 : Backwell,"4,149",767,214,68
E05008602 : Banwell and Winscombe,"7,810",982,680,182
E05002009 : Blagdon and Churchill,"2,837",488,158,43
E05002010 : Clevedon Central,"2,284",241,208,89
E05002011 : Clevedon East,"2,415",263,266,68
E05002012 : Clevedon North,"1,729",296,86,46
E05002013 : Clevedon South,"2,308",202,260,50
E05002014 : Clevedon Walton,"1,827",362,69,32
E05002015 : Clevedon West,"2,262",226,210,41
E05002016 : Clevedon Yeo,"2,395",234,251,53
E05002017 : Congresbury,"2,533",384,142,80
E05002018 : Easton-in-Gordano,"1,908",408,83,25
E05002019 : Gordano,"3,087",610,176,45
E05008603 : Hutton and Locking,"4,602",497,433,88
E05008604 : Kewstoke,"2,554",293,227,78
E05002022 : Nailsea East,"4,844",817,243,57
E05002023 : Nailsea North and West,"6,498",731,611,125
E05002024 : Pill,"2,580",256,355,82
E05002025 : Portishead Central,"2,924",547,193,54
E05002026 : Portishead Coast,"1,987",362,106,22
E05002027 : Portishead East,"3,986",592,312,80
E05002028 : Portishead Redcliffe Bay,"2,295",404,133,23
E05002029 : Portishead South and North Weston,"2,219",256,247,60
E05002030 : Portishead West,"2,433",329,200,42
E05002031 : Weston-super-Mare Central,"4,586",200,738,415
E05008605 : Weston-super-Mare Clarence and Uphill,"6,279",612,588,330
E05008606 : Weston-super-Mare East,"9,549",712,"1,079",334
E05002034 : Weston-super-Mare Milton and Old Worle,"6,350",605,623,155
E05008607 : Weston-super-Mare North Worle,"7,005",627,716,175
E05002036 : Weston-super-Mare South,"7,297",214,"1,433",550
E05002037 : Weston-super-Mare South Worle,"6,926",436,925,234
E05002038 : Weston-super-Mare West,"6,442",616,670,346
E05008608 : Winford,"2,246",305,162,49
E05002040 : Wraxall and Long Ashton,"5,419","1,202",280,89
E05008609 : Wrington,"2,005",357,122,48
E05002042 : Yatton,"6,782",963,622,121
E05002078 : Budshead,"9,226",639,"1,401",521
E05002079 : Compton,"9,574","1,043",788,281
E05002080 : Devonport,"11,101",435,"2,026",931
E05002081 : Drake,"10,143",353,531,322
E05002082 : Efford and Lipson,"10,646",510,"1,487",517
E05002083 : Eggbuckland,"9,599",817,"1,120",328
E05002084 : Ham,"9,388",390,"1,781",708
E05002085 : Honicknowle,"9,858",299,"1,893",813
E05002086 : Moor View,"9,071",525,"1,492",264
E05002087 : Peverell,"9,941","1,247",725,284
E05002088 : Plympton Chaddlewood,"6,166",511,650,124
E05002089 : Plympton Erle,"6,378",509,716,159
E05002090 : Plympton St Mary,"9,133",826,871,165
E05002091 : Plymstock Dunstone,"8,727",806,814,178
E05002092 : Plymstock Radford,"8,778",847,882,239
E05002093 : St Budeaux,"9,574",351,"1,659",754
E05002094 : St Peter and the Waterfront,"12,867","1,014","1,746",994
E05002095 : Southway,"9,295",574,"1,416",436
E05002096 : Stoke,"10,821",895,"1,152",592
E05002097 : Sutton and Mount Gould,"11,500",679,"1,341",577
E05002131 : Alderney,"8,127",418,"1,228",393
E05002132 : Branksome East,"4,766",505,363,121
E05002133 : Branksome West,"5,574",453,601,168
E05002134 : Broadstone,"7,050","1,198",357,114
E05002135 : Canford Cliffs,"5,669","1,046",222,166
E05002136 : Canford Heath East,"5,333",373,661,149
E05002137 : Canford Heath West,"5,063",490,562,137
E05002138 : Creekmoor,"6,618",517,884,155
E05002139 : Hamworthy East,"4,471",320,665,160
E05002140 : Hamworthy West,"5,109",309,785,241
E05002141 : Merley and Bearwood,"7,643",910,564,149
E05002142 : Newtown,"9,134",594,"1,234",389
E05002143 : Oakdale,"8,280",630,"1,011",215
E05002144 : Parkstone,"7,557","1,214",544,190
E05002145 : Penn Hill,"8,044","1,462",398,203
E05002146 : Poole Town,"7,953",787,890,359
E05002043 : Almondsbury,"2,922",495,185,60
E05002044 : Bitton,"2,545",328,180,70
E05002045 : Boyd Valley,"5,451",776,468,175
E05002046 : Bradley Stoke Central and Stoke Lodge,"6,014","1,029",406,155
E05002047 : Bradley Stoke North,"2,863",513,224,56
E05002048 : Bradley Stoke South,"6,864","1,258",446,160
E05002049 : Charfield,"3,645",466,399,208
E05002050 : Chipping Sodbury,"4,952",658,486,91
E05002051 : Cotswold Edge,"2,527",378,207,48
E05002052 : Dodington,"5,605",307,934,115
E05002053 : Downend,"7,502","1,107",496,162
E05002054 : Emersons Green,"8,694","1,505",592,156
E05002055 : Filton,"7,929",791,836,297
E05002056 : Frampton Cotterell,"5,236",770,438,90
E05002057 : Frenchay and Stoke Park,"5,624",811,176,130
E05002058 : Hanham,"7,394",714,723,170
E05002059 : Kings Chase,"8,088",478,"1,209",319
E05002060 : Ladden Brook,"2,783",457,172,67
E05002061 : Longwell Green,"5,057",565,398,80
E05002062 : Oldland Common,"5,780",508,600,153
E05002063 : Parkwall,"6,026",551,734,201
E05002064 : Patchway,"6,784",467,994,254
E05002065 : Pilning and Severn Beach,"2,679",264,329,61
E05002066 : Rodway,"7,748",647,964,199
E05002067 : Severn,"2,675",522,118,33
E05002068 : Siston,"3,532",428,337,84
E05002069 : Staple Hill,"5,346",443,699,229
E05002070 : Stoke Gifford,"9,033","1,365",780,173
E05002071 : Thornbury North,"5,389",810,377,125
E05002072 : Thornbury South and Alveston,"5,504",823,480,133
E05002073 : Westerleigh,"2,728",315,231,47
E05002074 : Winterbourne,"4,860",719,379,130
E05002075 : Woodstock,"8,283",573,"1,025",305
E05002076 : Yate Central,"5,936",445,866,155
E05002077 : Yate North,"8,470",901,955,200
E05002147 : Abbey Meads,"14,684","2,480",901,299
E05002148 : Blunsdon,"2,516",364,209,64
E05002149 : Central,"8,906",624,"1,882",618
E05002150 : Covingham and Nythe,"6,587",549,743,166
E05002151 : Dorcan,"6,480",448,903,243
E05002152 : Eastcott,"8,537","1,281",887,388
E05002153 : Freshbrook and Grange Park,"7,512",815,830,274
E05002154 : Gorse Hill and Pinehurst,"7,014",347,"1,402",472
E05002155 : Haydon Wick,"7,594",934,724,144
E05002156 : Highworth,"6,072",704,666,145
E05002157 : Moredon,"7,100",488,"1,107",329
E05002158 : Old Town and Lawn,"8,853","1,729",485,298
E05002159 : Parks,"7,211",205,"1,485",656
E05002160 : Penhill,"4,263",110,934,382
E05002161 : Ridgeway,"2,414",499,133,45
E05002162 : St Margaret,"7,429",720,801,202
E05002163 : St Philip,"6,622",483,928,242
E05002164 : Shaw and Nine Elms,"7,139",973,569,195
E05002165 : Toothill and Westlea,"5,757",426,839,298
E05002166 : Walcot,"5,378",311,915,379
E05002167 : Western,"8,525",721,"1,191",349
E05002168 : Wroughton and Chiseldon,"7,487",965,642,205
E05002098 : Berry Head-with-Furzeham,"6,750",455,825,256
E05002099 : Blatchcombe,"7,445",386,"1,151",377
E05002100 : Churston-with-Galmpton,"4,644",461,433,85
E05002101 : Clifton-with-Maidenway,"5,079",307,633,177
E05002102 : Cockington-with-Chelston,"7,523",585,795,249
E05002103 : Ellacombe,"5,322",206,732,348
E05002104 : Goodrington-with-Roselands,"5,008",334,619,147
E05002105 : Preston,"7,102",487,741,261
E05002106 : Roundham-with-Hyde,"5,508",227,855,400
E05002107 : St Marychurch,"7,879",472,972,343
E05002108 : St Mary's-with-Summercombe,"5,241",298,710,188
E05002109 : Shiphay-with-the-Willows,"6,839",501,765,221
E05002110 : Tormohun,"8,906",458,"1,394",627
E05002111 : Watcombe,"5,060",205,906,337
E05002112 : Wellswood,"5,694",711,449,256
E05008327 : Aldbourne and Ramsbury,"3,736",625,280,81
E05008328 : Alderbury and Whiteparish,"3,090",543,202,53
E05008329 : Amesbury East,"4,377",595,416,118
E05008330 : Amesbury West,"3,315",283,489,104
E05008331 : Bourne and Woodford Valley,"3,084",481,215,37
E05008332 : Box and Colerne,"3,738",592,217,65
E05008333 : Bradford-on-Avon North,"3,301",556,197,77
E05008334 : Bradford-on-Avon South,"3,372",500,280,79
E05008335 : Brinkworth,"3,275",627,193,62
"E05008336 : Bromham, Rowde and Potterne","3,594",419,382,125
"E05008337 : Bulford, Allington and Figheldean","4,533",518,372,103
E05008338 : Burbage and the Bedwyns,"3,461",559,259,78
E05008339 : By Brook,"3,255",602,182,69
E05008340 : Calne Central,"3,129",270,405,128
E05008341 : Calne Chilvester and Abberd,"3,588",321,461,130
E05008342 : Calne North,"3,172",353,412,104
E05008343 : Calne Rural,"3,147",494,201,75
E05008344 : Calne South and Cherhill,"3,514",470,298,63
E05008345 : Chippenham Cepen Park and Derriads,"3,155",466,224,54
E05008346 : Chippenham Cepen Park and Redlands,"3,584",522,396,96
E05008347 : Chippenham Hardenhuish,"3,250",436,349,99
E05008348 : Chippenham Hardens and England,"3,093",363,334,107
E05008349 : Chippenham Lowden and Rowden,"3,516",406,422,166
E05008350 : Chippenham Monkton,"2,557",407,219,76
E05008351 : Chippenham Pewsham,"3,511",484,269,72
E05008352 : Chippenham Queens and Sheldon,"3,223",299,427,116
E05008353 : Corsham Pickwick,"3,865",506,397,118
E05008354 : Corsham Town,"3,266",396,362,99
E05008355 : Corsham Without and Box Hill,"4,008",560,322,77
E05008356 : Cricklade and Latton,"3,629",534,349,75
E05008357 : Devizes and Roundway South,"3,007",358,325,75
E05008358 : Devizes East,"3,020",231,449,83
E05008359 : Devizes North,"2,951",249,466,125
E05008360 : Downton and Ebble Valley,"3,451",521,286,77
E05008361 : Durrington and Larkhill,"5,406",609,460,122
E05008362 : Ethandune,"3,278",438,278,93
E05008363 : Fovant and Chalke Valley,"2,969",492,192,62
E05008364 : Hilperton,"3,477",449,336,86
E05008365 : Holt and Staverton,"3,246",547,238,76
E05008366 : Kington,"3,686",699,260,82
"E05008367 : Laverstock, Ford and Old Sarum","2,774",377,215,91
E05008368 : Ludgershall and Perham Down,"4,265",353,513,111
E05008369 : Lyneham,"4,076",537,321,92
E05008370 : Malmesbury,"3,858",601,392,112
E05008371 : Marlborough East,"2,829",323,351,101
E05008372 : Marlborough West,"3,090",472,179,68
E05008373 : Melksham Central,"3,642",227,580,141
E05008374 : Melksham North,"3,144",182,504,123
E05008375 : Melksham South,"3,631",304,464,103
E05008376 : Melksham Without North,"3,094",415,241,72
E05008377 : Melksham Without South,"3,751",377,445,102
E05008378 : Mere,"3,024",363,312,76
E05008379 : Minety,"3,501",646,228,58
E05008380 : Nadder and East Knoyle,"3,045",380,239,67
E05008381 : Pewsey,"3,359",420,324,152
E05008382 : Pewsey Vale,"3,252",555,306,73
E05008383 : Purton,"2,974",407,251,81
E05008384 : Redlynch and Landford,"3,324",598,225,67
E05008385 : Roundway,"3,158",403,302,72
E05008386 : Salisbury Bemerton,"4,563",269,765,250
E05008387 : Salisbury Fisherton and Bemerton Village,"3,208",321,335,112
E05008388 : Salisbury Harnham,"3,485",510,283,93
E05008389 : Salisbury St Edmund and Milford,"3,781",554,312,189
E05008390 : Salisbury St Francis and Stratford,"3,853",535,324,91
E05008391 : Salisbury St Mark's and Bishopdown,"3,058",443,299,75
E05008392 : Salisbury St Martin's and Cathedral,"4,160",558,344,122
E05008393 : Salisbury St Paul's,"3,760",468,396,100
E05008394 : Sherston,"3,441",574,266,67
E05008395 : Southwick,"3,233",339,301,79
E05008396 : Summerham and Seend,"3,128",468,246,87
E05008397 : The Collingbournes and Netheravon,"3,162",436,339,56
E05008398 : The Lavingtons and Erlestoke,"4,281",535,430,147
E05008399 : Tidworth,"6,951",555,587,176
E05008400 : Till and Wylye Valley,"3,285",507,287,56
E05008401 : Tisbury,"3,076",321,280,75
E05008402 : Trowbridge Adcroft,"3,646",269,678,159
E05008403 : Trowbridge Central,"4,055",334,602,166
E05008404 : Trowbridge Drynham,"2,993",268,392,85
E05008405 : Trowbridge Grove,"3,256",250,481,119
E05008406 : Trowbridge Lambrok,"3,403",216,506,207
E05008407 : Trowbridge Park,"3,058",225,463,169
E05008408 : Trowbridge Paxcroft,"2,969",420,251,56
E05008409 : Urchfont and The Cannings,"3,193",467,275,59
E05008410 : Warminster Broadway,"3,379",295,419,91
E05008411 : Warminster Copheap and Wylye,"3,651",502,320,105
E05008412 : Warminster East,"3,746",300,531,133
E05008413 : Warminster West,"3,768",283,547,113
E05008414 : Warminster Without,"3,089",441,235,57
E05008415 : West Selkley,"3,214",510,287,61
E05008416 : Westbury East,"3,597",333,461,90
E05008417 : Westbury North,"3,055",225,435,108
E05008418 : Westbury West,"4,062",334,569,138
E05008419 : Wilton and Lower Wylye Valley,"3,424",366,442,94
E05008420 : Winsley and Westwood,"2,745",536,134,47
E05008421 : Winterslow,"2,808",488,153,48
E05008422 : Wootton Bassett East,"3,359",557,201,51
E05008423 : Wootton Bassett North,"3,119",240,442,111
E05008424 : Wootton Bassett South,"3,961",497,371,100
E05003459 : Axminster Rural,"1,875",136,204,53
E05003460 : Axminster Town,"3,085",200,404,84
E05003461 : Beer and Branscombe,"1,368",140,147,31
E05003462 : Broadclyst,"3,472",420,297,57
E05003463 : Budleigh,"3,854",535,237,78
E05003464 : Clyst Valley,"1,717",276,119,23
E05003465 : Coly Valley,"3,129",346,255,47
E05003466 : Dunkeswell,"1,352",107,151,34
E05003467 : Exe Valley,"1,486",216,121,31
E05003468 : Exmouth Brixington,"4,546",366,404,135
E05003469 : Exmouth Halsdon,"4,730",398,447,90
E05003470 : Exmouth Littleham,"4,641",484,423,170
E05003471 : Exmouth Town,"5,260",330,654,187
E05003472 : Exmouth Withycombe Raleigh,"5,201",341,686,158
E05008542 : Feniton and Buckerell,"1,621",164,158,25
E05008543 : Honiton St Michael's,"4,771",363,623,126
E05003475 : Honiton St Paul's,"3,341",243,395,105
E05003476 : Newbridges,"1,701",204,100,43
E05003477 : Newton Poppleford and Harpford,"1,471",171,112,29
E05003478 : Otterhead,"1,644",198,98,39
E05008544 : Ottery St Mary Rural,"2,906",471,138,54
E05003480 : Ottery St Mary Town,"3,400",375,300,97
E05003481 : Raleigh,"1,604",214,107,58
E05003482 : Seaton,"4,645",363,485,113
E05003483 : Sidmouth Rural,"1,505",218,81,21
E05003484 : Sidmouth Sidford,"4,268",357,415,99
E05003485 : Sidmouth Town,"3,160",377,215,50
E05003486 : Tale Vale,"1,817",260,112,24
E05003487 : Trinity,"1,829",232,96,25
E05008545 : Whimple,"1,772",242,105,29
E05003489 : Woodbury and Lympstone,"3,898",565,208,47
E05003490 : Yarty,"1,713",198,133,32
E05003491 : Alphington,"6,384",641,693,204
E05003492 : Cowick,"3,942",275,545,148
E05003493 : Duryard,"4,443",278,108,47
E05003494 : Exwick,"6,727",483,903,219
E05003495 : Heavitree,"4,251",511,337,76
E05003496 : Mincinglake,"3,991",279,596,153
E05003497 : Newtown,"4,837",480,370,169
E05003498 : Pennsylvania,"4,009",593,340,104
E05003499 : Pinhoe,"4,435",382,513,163
E05003500 : Polsloe,"5,597",512,362,136
E05003501 : Priory,"6,590",476,"1,149",353
E05003502 : St David's,"5,690",550,502,231
E05003503 : St James,"6,098",439,288,187
E05003504 : St Leonard's,"3,844",943,186,90
E05003505 : St Loyes,"4,705",570,444,101
E05003506 : St Thomas,"4,896",404,551,153
E05003507 : Topsham,"3,810",638,288,68
E05003508 : Whipton & Barton,"5,295",412,764,214
E05008546 : Boniface,"2,804",191,353,105
E05003510 : Bradninch,"1,382",190,126,29
E05003511 : Cadbury,"1,150",170,51,17
E05003512 : Canonsleigh,"2,356",259,198,46
E05003513 : Castle,"3,027",222,397,112
E05003514 : Clare and Shuttern,"2,518",278,192,64
E05003515 : Cranmore,"3,606",261,549,139
E05003516 : Cullompton North,"2,867",202,395,112
E05003517 : Cullompton Outer,"1,517",210,88,54
E05003518 : Cullompton South,"2,668",194,420,74
E05003519 : Halberton,"1,511",188,106,35
E05003520 : Lawrence,"2,660",217,277,77
E05003521 : Lower Culm,"4,100",371,541,108
E05003522 : Lowman,"4,671",325,695,174
E05008547 : Newbrooke,"1,113",166,78,36
E05003524 : Sandford and Creedy,"2,493",305,202,67
E05003525 : Silverton,"1,333",182,98,27
E05003526 : Taw,"1,234",125,102,34
E05003527 : Taw Vale,"1,204",105,121,20
E05003528 : Upper Culm,"2,905",350,246,50
E05003529 : Upper Yeo,"1,279",100,127,43
E05003530 : Way,"1,177",140,70,21
E05003531 : Westexe,"3,686",201,608,138
E05008548 : Yeo,"2,586",286,210,71
E05003533 : Bickington and Roundswell,"3,243",234,363,75
E05003534 : Bishop's Nympton,"1,402",123,121,44
E05003535 : Bratton Fleming,"1,516",162,133,25
E05003536 : Braunton East,"2,860",291,255,58
E05003537 : Braunton West,"2,873",217,337,59
E05003538 : Central Town,"3,553",190,612,120
E05003539 : Chittlehampton,"1,670",154,130,36
E05003540 : Chulmleigh,"1,529",127,137,38
E05003541 : Combe Martin,"2,899",175,329,59
E05003542 : Forches and Whiddon Valley,"3,275",147,599,152
E05003543 : Fremington,"2,993",223,331,84
E05003544 : Georgeham and Mortehoe,"2,742",256,197,49
E05003545 : Heanton Punchardon,"1,930",147,211,38
E05003546 : Ilfracombe Central,"3,258",139,564,205
E05003547 : Ilfracombe East,"1,795",103,234,54
E05003548 : Ilfracombe West,"3,295",167,471,107
E05003549 : Instow,"1,115",114,84,37
"E05003550 : Landkey, Swimbridge and Taw","3,645",324,363,85
E05003551 : Longbridge,"2,957",213,376,86
E05003552 : Lynton and Lynmouth,"1,237",78,118,27
E05003553 : Marwood,"1,400",166,71,14
E05003554 : Newport,"3,291",277,376,122
E05003555 : North Molton,"1,645",148,144,49
E05003556 : Pilton,"3,191",285,379,81
E05003557 : South Molton,"3,421",187,465,111
E05003558 : Witheridge,"1,637",131,162,57
E05003559 : Yeo Valley,"3,135",131,580,126
E05003560 : Allington and Loddiswell,"1,613",180,138,24
E05003561 : Avon and Harbourne,"1,696",232,103,36
E05003562 : Bickleigh and Shaugh,"3,668",431,286,70
E05003563 : Charterlands,"1,477",214,91,28
E05003564 : Cornwood and Sparkwell,"1,728",206,151,38
E05003565 : Dartington,"1,220",185,91,28
E05003566 : Dartmouth and Kingswear,"3,177",405,239,78
E05003567 : Dartmouth Townstal,"1,962",271,298,76
E05003568 : East Dart,"1,342",181,96,31
E05003569 : Eastmoor,"1,753",255,86,74
E05003570 : Erme Valley,"3,625",569,210,80
E05003571 : Ivybridge Central,"1,686",150,193,65
E05003572 : Ivybridge Filham,"3,697",354,329,60
E05003573 : Ivybridge Woodlands,"3,211",343,286,65
E05003574 : Kingsbridge East,"1,363",112,151,37
E05003575 : Kingsbridge North,"1,669",122,157,57
E05003576 : Marldon,"1,566",174,124,37
E05003577 : Newton and Noss,"1,343",298,56,23
E05003578 : Salcombe and Malborough,"2,419",293,166,43
E05003579 : Saltstone,"1,118",131,69,22
E05003580 : Skerries,"1,381",155,92,26
E05003581 : South Brent,"1,760",189,160,55
E05003582 : Stokenham,"1,331",123,87,29
E05003583 : Thurlestone,"1,331",165,81,18
E05003584 : Totnes Bridgetown,"2,515",245,251,97
E05003585 : Totnes Town,"3,333",375,256,142
E05003586 : Wembury and Brixton,"3,266",476,223,70
E05003587 : West Dart,"1,464",212,85,26
E05003588 : Westville and Alvington,"1,438",89,178,63
E05003589 : Yealmpton,"1,465",255,86,34
E05008599 : Ambrook,"4,681",524,442,188
E05003591 : Ashburton and Buckfastleigh,"5,545",511,651,151
E05003592 : Bishopsteignton,"1,822",256,108,31
E05003593 : Bovey,"5,323",653,527,127
E05003594 : Bradley,"3,610",255,438,100
E05003595 : Buckland and Milber,"5,123",352,764,186
E05003596 : Bushell,"4,966",381,656,222
E05003597 : Chudleigh,"4,529",513,447,157
E05008600 : College,"3,707",330,434,140
E05003599 : Dawlish Central and North East,"5,943",488,683,264
E05003600 : Dawlish South West,"3,465",296,374,97
E05003601 : Haytor,"2,041",254,143,32
E05003602 : Ipplepen,"1,724",196,141,28
E05003603 : Kenn Valley,"4,315",600,306,73
E05003604 : Kenton with Starcross,"2,219",250,167,48
E05003605 : Kerswell-with-Combe,"4,154",368,384,102
E05003606 : Kingsteignton East,"4,291",363,416,87
E05003607 : Kingsteignton West,"3,761",226,515,85
E05003608 : Moorland,"2,065",252,142,40
E05003609 : Shaldon and Stokeinteignhead,"1,733",257,94,23
E05003610 : Teignbridge North,"1,989",224,189,46
E05003611 : Teignmouth Central,"3,561",314,319,136
E05003612 : Teignmouth East,"3,349",348,270,127
E05003613 : Teignmouth West,"3,583",193,456,130
E05003614 : Teign Valley,"1,972",317,108,33
E05003615 : Appledore,"2,066",166,269,84
E05003616 : Bideford East,"4,374",202,681,212
E05003617 : Bideford North,"4,207",230,584,185
E05003618 : Bideford South,"3,850",142,697,170
E05003619 : Broadheath,"1,202",71,118,29
E05003620 : Clinton,"1,143",86,104,27
E05003621 : Clovelly Bay,"1,232",81,130,26
E05003622 : Coham Bridge,"1,189",107,89,33
E05003623 : Forest,"1,237",96,108,31
E05003624 : Hartland and Bradworthy,"2,250",118,235,67
E05003625 : Holsworthy,"2,759",124,368,114
E05003626 : Kenwith,"1,168",116,95,22
E05003627 : Monkleigh and Littleham,"1,118",98,77,32
E05003628 : Northam,"3,815",301,462,169
E05003629 : Orchard Hill,"1,230",118,104,29
E05003630 : Shebbear and Langtree,"1,477",108,139,33
E05003631 : Tamarside,"1,283",88,112,27
E05003632 : Three Moors,"1,199",114,104,37
E05003633 : Torrington,"4,036",181,621,190
E05003634 : Two Rivers,"1,298",127,99,24
E05003635 : Waldon,"1,280",99,95,35
E05003636 : Westward Ho!,"1,562",138,154,67
E05003637 : Winkleigh,"1,535",133,143,44
E05003638 : Bere Ferrers,"2,202",216,229,68
E05003639 : Bridestowe,"1,167",136,77,33
E05003640 : Buckland Monachorum,"2,364",454,128,55
E05003641 : Burrator,"1,059",170,52,30
E05003642 : Chagford,"1,035",149,54,20
E05003643 : Drewsteignton,"1,226",167,63,19
E05003644 : Exbourne,"1,272",153,82,50
E05003645 : Hatherleigh,"1,639",98,200,83
E05003646 : Lew Valley,"1,497",120,133,38
E05003647 : Lydford,"1,650",107,274,109
E05003648 : Mary Tavy,"1,118",146,75,18
E05003649 : Milton Ford,"1,211",134,76,20
E05003650 : North Tawton,"1,483",130,153,47
E05003651 : Okehampton East,"2,916",203,450,96
E05003652 : Okehampton West,"2,414",188,311,85
E05003653 : Tamarside,"1,146",140,73,27
E05003654 : Tavistock North,"4,145",446,371,164
E05003655 : Tavistock South,"2,939",368,255,84
E05003656 : Tavistock South West,"1,648",164,172,43
E05003657 : South Tawton,"1,261",157,103,40
E05003658 : Thrushel,"1,252",113,120,22
E05003659 : Walkham,"2,297",285,188,62
E05003660 : Burton and Winkton,"3,089",282,292,61
E05003661 : Grange,"3,485",161,567,181
E05003662 : Highcliffe,"1,885",214,120,44
E05003663 : Jumpers,"2,957",270,276,72
E05003664 : Mudeford and Friars Cliff,"3,312",439,231,69
E05003665 : North Highcliffe and Walkford,"2,505",278,197,67
E05003666 : Portfield,"3,066",280,249,80
E05003667 : Purewell and Stanpit,"3,040",295,277,86
E05003668 : St Catherine's and Hurn,"2,548",322,153,30
E05003669 : Town Centre,"2,970",340,231,81
E05003670 : West Highcliffe,"3,788",461,258,63
E05003671 : Alderholt,"2,003",252,158,31
E05003672 : Ameysford,"1,754",148,165,33
E05003673 : Colehill East,"3,362",468,238,42
E05003674 : Colehill West,"1,685",340,69,14
E05003675 : Corfe Mullen Central,"3,679",404,293,58
E05003676 : Corfe Mullen North,"1,786",252,128,45
E05003677 : Corfe Mullen South,"1,866",248,155,36
E05003678 : Crane,"1,637",157,148,45
E05003679 : Ferndown Central,"2,785",326,218,90
E05003680 : Ferndown Links,"3,402",327,373,151
E05003681 : Handley Vale,"1,844",255,181,37
E05003682 : Holt,"1,719",285,112,23
E05003683 : Longham,"1,757",238,119,44
E05003684 : Parley,"3,227",407,203,57
E05003685 : St Leonards and St Ives East,"3,378",485,208,94
E05003686 : St Leonards and St Ives West,"1,596",280,82,23
E05003687 : Stapehill,"1,654",151,143,29
E05003688 : Stour,"1,879",216,155,32
E05003689 : Three Cross and Potterne,"1,777",150,226,70
E05003690 : Verwood Dewlands,"3,435",554,220,50
E05003691 : Verwood Newtown,"1,862",195,176,24
E05003692 : Verwood Stephen's Castle,"3,120",416,187,47
E05003693 : West Moors,"5,089",531,498,131
E05003694 : Wimborne Minster,"4,751",530,494,147
E05003695 : Abbey,"2,871",356,276,62
E05003696 : Blackmore,"2,572",226,293,81
E05003697 : Blandford Damory Down,"1,407",101,195,35
E05003698 : Blandford Hilltop,"1,526",143,162,42
E05003699 : Blandford Langton St Leonards,"1,357",93,197,34
E05003700 : Blandford Old Town,"1,397",126,192,55
E05003701 : Blandford Station,"1,621",146,224,52
E05003702 : Bourton and District,"1,432",174,113,29
E05003703 : Bulbarrow,"1,382",155,128,26
E05003704 : Cranborne Chase,"1,488",179,125,39
E05003705 : Gillingham Town,"1,824",141,307,56
E05003706 : Hill Forts,"3,248",362,330,70
E05003707 : Lodbourne,"1,205",66,219,41
E05003708 : Lydden Vale,"1,458",146,154,27
E05003709 : Marnhull,"1,428",167,149,48
