QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05002016 : Clevedon Yeo,"1,053",205,348,272,228
E05002017 : Congresbury,939,327,286,173,153
E05002018 : Easton-in-Gordano,679,338,188,98,55
E05002019 : Gordano,"1,241",496,412,199,134
E05008603 : Hutton and Locking,"1,729",383,580,442,324
E05008604 : Kewstoke,991,280,330,218,163
E05002022 : Nailsea East,"1,838",693,649,287,209
E05002023 : Nailsea North and West,"2,508",589,857,581,481
E05002024 : Pill,"1,055",225,310,257,263
E05002025 : Portishead Central,"1,468",549,514,205,200
E05002026 : Portishead Coast,753,314,250,127,62
E05002027 : Portishead East,"1,877",563,688,324,302
E05002028 : Portishead Redcliffe Bay,865,322,343,114,86
E05002029 : Portishead South and North Weston,910,224,285,197,204
E05002030 : Portishead West,919,286,294,187,152
E05002031 : Weston-super-Mare Central,"2,340",226,557,513,"1,044"
E05008605 : Weston-super-Mare Clarence and Uphill,"2,610",523,839,558,690
E05008606 : Weston-super-Mare East,"4,594",684,"1,500","1,141","1,269"
E05002034 : Weston-super-Mare Milton and Old Worle,"2,423",515,798,593,517
E05008607 : Weston-super-Mare North Worle,"3,068",544,"1,064",769,691
E05002036 : Weston-super-Mare South,"3,403",215,728,904,"1,556"
E05002037 : Weston-super-Mare South Worle,"3,016",399,962,805,850
E05002038 : Weston-super-Mare West,"3,099",577,"1,029",618,875
E05008608 : Winford,830,234,250,236,110
E05002040 : Wraxall and Long Ashton,"2,254","1,043",659,294,258
E05008609 : Wrington,770,282,258,143,87
E05002042 : Yatton,"2,694",806,844,561,483
E05002078 : Budshead,"4,083",530,"1,175",994,"1,384"
E05002079 : Compton,"3,902",967,"1,564",668,703
E05002080 : Devonport,"5,562",470,"1,536","1,228","2,328"
E05002081 : Drake,"3,261",432,"1,744",378,707
E05002082 : Efford and Lipson,"4,593",571,"1,434","1,116","1,472"
E05002083 : Eggbuckland,"3,840",697,"1,361",934,848
E05002084 : Ham,"3,953",370,970,"1,067","1,546"
E05002085 : Honicknowle,"4,214",320,909,"1,236","1,749"
E05002086 : Moor View,"3,386",459,952,935,"1,040"
E05002087 : Peverell,"4,312","1,222","1,579",861,650
E05002088 : Plympton Chaddlewood,"2,744",452,"1,087",689,516
E05002089 : Plympton Erle,"2,508",479,848,663,518
E05002090 : Plympton St Mary,"3,447",732,"1,267",868,580
E05002091 : Plymstock Dunstone,"3,335",716,"1,221",838,560
E05002092 : Plymstock Radford,"3,412",825,"1,194",762,631
E05002093 : St Budeaux,"4,274",333,"1,120","1,186","1,635"
E05002094 : St Peter and the Waterfront,"6,844","1,135","2,228","1,174","2,307"
E05002095 : Southway,"3,833",518,"1,126","1,030","1,159"
E05002096 : Stoke,"5,068",941,"1,810","1,078","1,239"
E05002097 : Sutton and Mount Gould,"5,068",736,"1,833","1,011","1,488"
E05002131 : Alderney,"3,221",391,835,927,"1,068"
E05002132 : Branksome East,"1,937",464,657,430,386
E05002133 : Branksome West,"2,429",408,791,655,575
E05002134 : Broadstone,"2,493","1,021",838,424,210
E05002135 : Canford Cliffs,"2,258",922,839,262,235
E05002136 : Canford Heath East,"2,253",296,710,654,593
E05002137 : Canford Heath West,"2,166",456,690,509,511
E05002138 : Creekmoor,"2,756",488,855,808,605
E05002139 : Hamworthy East,"1,918",287,569,558,504
E05002140 : Hamworthy West,"2,141",264,657,562,658
E05002141 : Merley and Bearwood,"2,785",806,957,610,412
E05002142 : Newtown,"3,820",582,"1,101","1,103","1,034"
E05002143 : Oakdale,"3,182",561,976,920,725
E05002144 : Parkstone,"3,327","1,116","1,128",550,533
E05002145 : Penn Hill,"3,491","1,353","1,155",532,451
E05002146 : Poole Town,"3,553",765,"1,085",741,962
E05002043 : Almondsbury,"1,112",427,339,189,157
E05002044 : Bitton,"1,006",296,339,208,163
E05002045 : Boyd Valley,"2,062",670,624,475,293
E05002046 : Bradley Stoke Central and Stoke Lodge,"2,802",918,999,508,377
E05002047 : Bradley Stoke North,"1,450",480,496,253,221
E05002048 : Bradley Stoke South,"3,463","1,198","1,224",580,461
E05002049 : Charfield,"1,145",391,370,245,139
E05002050 : Chipping Sodbury,"1,914",520,627,435,332
E05002051 : Cotswold Edge,978,358,284,213,123
E05002052 : Dodington,"2,498",278,724,782,714
E05002053 : Downend,"2,924",955,"1,027",610,332
E05002054 : Emersons Green,"3,900","1,393","1,345",684,478
E05002055 : Filton,"3,232",714,"1,111",692,715
E05002056 : Frampton Cotterell,"1,952",644,614,424,270
E05002057 : Frenchay and Stoke Park,"1,755",658,683,201,213
E05002058 : Hanham,"2,830",593,962,794,481
E05002059 : Kings Chase,"3,539",453,"1,047","1,015","1,024"
E05002060 : Ladden Brook,"1,053",413,332,203,105
E05002061 : Longwell Green,"1,979",455,738,503,283
E05002062 : Oldland Common,"2,405",477,828,630,470
E05002063 : Parkwall,"2,701",501,911,669,620
E05002064 : Patchway,"2,991",453,857,783,898
E05002065 : Pilning and Severn Beach,"1,130",221,334,304,271
E05002066 : Rodway,"2,946",540,939,858,609
E05002067 : Severn,947,408,270,175,94
E05002068 : Siston,"1,582",400,560,367,255
E05002069 : Staple Hill,"2,406",403,757,604,642
E05002070 : Stoke Gifford,"3,936","1,237","1,292",800,607
E05002071 : Thornbury North,"2,087",707,702,383,295
E05002072 : Thornbury South and Alveston,"2,043",678,610,394,361
E05002073 : Westerleigh,924,250,317,251,106
E05002074 : Winterbourne,"1,738",572,549,351,266
E05002075 : Woodstock,"3,618",561,"1,133","1,036",888
E05002076 : Yate Central,"2,258",367,690,666,535
E05002077 : Yate North,"3,617",813,"1,172",874,758
E05002147 : Abbey Meads,"7,646","2,396","2,812","1,323","1,115"
E05002148 : Blunsdon,935,282,312,187,154
E05002149 : Central,"3,982",641,"1,112",731,"1,498"
E05002150 : Covingham and Nythe,"2,655",461,881,691,622
E05002151 : Dorcan,"2,774",396,811,720,847
E05002152 : Eastcott,"4,377","1,355","1,330",731,961
E05002153 : Freshbrook and Grange Park,"3,483",767,"1,138",723,855
E05002154 : Gorse Hill and Pinehurst,"3,258",353,728,854,"1,323"
E05002155 : Haydon Wick,"3,242",800,"1,071",735,636
E05002156 : Highworth,"2,451",621,729,574,527
E05002157 : Moredon,"3,112",465,888,781,978
E05002158 : Old Town and Lawn,"4,047","1,658","1,336",558,495
E05002159 : Parks,"3,259",182,680,876,"1,521"
E05002160 : Penhill,"2,068",118,359,503,"1,088"
E05002161 : Ridgeway,902,421,259,132,90
E05002162 : St Margaret,"3,093",631,"1,025",751,686
E05002163 : St Philip,"2,685",415,851,700,719
E05002164 : Shaw and Nine Elms,"3,349",932,"1,160",648,609
E05002165 : Toothill and Westlea,"2,688",384,816,629,859
E05002166 : Walcot,"2,402",295,598,546,963
E05002167 : Western,"3,996",729,"1,201",995,"1,071"
E05002168 : Wroughton and Chiseldon,"2,909",899,914,572,524
E05002098 : Berry Head-with-Furzeham,"2,583",424,817,645,697
E05002099 : Blatchcombe,"3,098",370,816,818,"1,094"
E05002100 : Churston-with-Galmpton,"1,525",378,498,342,307
E05002101 : Clifton-with-Maidenway,"2,058",302,632,564,560
E05002102 : Cockington-with-Chelston,"3,051",591,986,713,761
E05002103 : Ellacombe,"2,529",271,707,644,907
E05002104 : Goodrington-with-Roselands,"1,911",305,641,454,511
E05002105 : Preston,"2,656",455,887,699,615
E05002106 : Roundham-with-Hyde,"2,594",215,676,647,"1,056"
E05002107 : St Marychurch,"3,258",481,956,791,"1,030"
E05002108 : St Mary's-with-Summercombe,"1,990",280,542,557,611
E05002109 : Shiphay-with-the-Willows,"2,926",459,"1,008",717,742
E05002110 : Tormohun,"4,379",460,"1,167","1,025","1,727"
E05002111 : Watcombe,"2,017",201,497,536,783
E05002112 : Wellswood,"2,456",599,821,409,627
E05008327 : Aldbourne and Ramsbury,"1,481",562,435,285,199
E05008328 : Alderbury and Whiteparish,"1,205",453,355,239,158
E05008329 : Amesbury East,"2,014",508,723,418,365
E05008330 : Amesbury West,"1,304",228,425,322,329
E05008331 : Bourne and Woodford Valley,"1,170",388,379,272,131
E05008332 : Box and Colerne,"1,425",471,515,263,176
E05008333 : Bradford-on-Avon North,"1,279",533,375,189,182
E05008334 : Bradford-on-Avon South,"1,414",529,424,214,247
E05008335 : Brinkworth,"1,243",512,323,264,144
"E05008336 : Bromham, Rowde and Potterne","1,387",348,413,371,255
"E05008337 : Bulford, Allington and Figheldean","1,601",352,766,278,205
E05008338 : Burbage and the Bedwyns,"1,385",504,385,296,200
E05008339 : By Brook,"1,276",555,392,204,125
E05008340 : Calne Central,"1,394",269,407,336,382
E05008341 : Calne Chilvester and Abberd,"1,517",299,468,360,390
E05008342 : Calne North,"1,468",314,440,369,345
E05008343 : Calne Rural,"1,197",448,371,230,148
E05008344 : Calne South and Cherhill,"1,452",432,477,344,199
E05008345 : Chippenham Cepen Park and Derriads,"1,388",459,469,259,201
E05008346 : Chippenham Cepen Park and Redlands,"1,607",511,480,282,334
E05008347 : Chippenham Hardenhuish,"1,363",371,399,289,304
E05008348 : Chippenham Hardens and England,"1,422",373,410,309,330
E05008349 : Chippenham Lowden and Rowden,"1,590",340,466,356,428
E05008350 : Chippenham Monkton,"1,093",349,333,199,212
E05008351 : Chippenham Pewsham,"1,689",437,585,375,292
E05008352 : Chippenham Queens and Sheldon,"1,285",258,340,350,337
E05008353 : Corsham Pickwick,"1,736",495,527,306,408
E05008354 : Corsham Town,"1,271",381,404,237,249
E05008355 : Corsham Without and Box Hill,"1,645",532,519,297,297
E05008356 : Cricklade and Latton,"1,462",468,417,327,250
E05008357 : Devizes and Roundway South,"1,194",293,373,271,257
E05008358 : Devizes East,"1,268",196,390,346,336
E05008359 : Devizes North,"1,398",244,360,366,428
E05008360 : Downton and Ebble Valley,"1,320",418,364,315,223
E05008361 : Durrington and Larkhill,"2,006",427,913,392,274
E05008362 : Ethandune,"1,275",389,380,301,205
E05008363 : Fovant and Chalke Valley,"1,172",402,352,246,172
E05008364 : Hilperton,"1,431",397,453,306,275
E05008365 : Holt and Staverton,"1,437",518,450,258,211
E05008366 : Kington,"1,350",607,356,246,141
"E05008367 : Laverstock, Ford and Old Sarum","1,100",322,336,243,199
E05008368 : Ludgershall and Perham Down,"1,728",278,655,429,366
E05008369 : Lyneham,"1,535",358,682,308,187
E05008370 : Malmesbury,"1,675",602,450,331,292
E05008371 : Marlborough East,"1,200",301,315,291,293
E05008372 : Marlborough West,"1,085",497,284,152,152
E05008373 : Melksham Central,"1,662",236,451,429,546
E05008374 : Melksham North,"1,256",161,342,346,407
E05008375 : Melksham South,"1,481",232,457,381,411
E05008376 : Melksham Without North,"1,114",371,329,233,181
E05008377 : Melksham Without South,"1,556",328,512,391,325
E05008378 : Mere,"1,155",269,307,319,260
E05008379 : Minety,"1,372",578,393,254,147
E05008380 : Nadder and East Knoyle,"1,179",347,357,278,197
E05008381 : Pewsey,"1,402",422,379,307,294
E05008382 : Pewsey Vale,"1,314",439,401,287,187
E05008383 : Purton,"1,169",357,332,267,213
E05008384 : Redlynch and Landford,"1,215",479,327,257,152
E05008385 : Roundway,"1,527",385,509,332,301
E05008386 : Salisbury Bemerton,"2,004",232,509,528,735
E05008387 : Salisbury Fisherton and Bemerton Village,"1,350",317,472,302,259
E05008388 : Salisbury Harnham,"1,442",423,462,265,292
E05008389 : Salisbury St Edmund and Milford,"1,758",563,543,287,365
E05008390 : Salisbury St Francis and Stratford,"1,437",470,494,239,234
E05008391 : Salisbury St Mark's and Bishopdown,"1,335",389,408,267,271
E05008392 : Salisbury St Martin's and Cathedral,"1,737",499,554,310,374
E05008393 : Salisbury St Paul's,"1,825",465,592,365,403
E05008394 : Sherston,"1,380",578,381,239,182
E05008395 : Southwick,"1,252",310,374,313,255
E05008396 : Summerham and Seend,"1,161",381,352,230,198
E05008397 : The Collingbournes and Netheravon,"1,304",403,406,294,201
E05008398 : The Lavingtons and Erlestoke,"1,484",479,428,359,218
E05008399 : Tidworth,"2,191",312,"1,076",421,382
E05008400 : Till and Wylye Valley,"1,260",390,369,305,196
E05008401 : Tisbury,"1,195",325,351,316,203
E05008402 : Trowbridge Adcroft,"1,634",229,427,368,610
E05008403 : Trowbridge Central,"1,910",359,548,402,601
E05008404 : Trowbridge Drynham,"1,336",230,400,332,374
E05008405 : Trowbridge Grove,"1,336",228,380,343,385
E05008406 : Trowbridge Lambrok,"1,339",218,345,301,475
E05008407 : Trowbridge Park,"1,370",212,393,274,491
E05008408 : Trowbridge Paxcroft,"1,282",369,442,247,224
E05008409 : Urchfont and The Cannings,"1,295",391,405,297,202
E05008410 : Warminster Broadway,"1,317",260,428,330,299
E05008411 : Warminster Copheap and Wylye,"1,517",399,618,276,224
E05008412 : Warminster East,"1,546",268,490,381,407
E05008413 : Warminster West,"1,599",270,481,390,458
E05008414 : Warminster Without,"1,198",369,356,280,193
E05008415 : West Selkley,"1,279",465,392,276,146
E05008416 : Westbury East,"1,615",310,479,402,424
E05008417 : Westbury North,"1,348",211,387,379,371
E05008418 : Westbury West,"1,818",314,577,447,480
E05008419 : Wilton and Lower Wylye Valley,"1,401",318,434,332,317
E05008420 : Winsley and Westwood,"1,000",432,290,164,114
E05008421 : Winterslow,"1,048",429,290,210,119
E05008422 : Wootton Bassett East,"1,325",490,447,235,153
E05008423 : Wootton Bassett North,"1,261",232,395,311,323
E05008424 : Wootton Bassett South,"1,630",468,536,323,303
E05003459 : Axminster Rural,703,122,165,225,191
E05003460 : Axminster Town,"1,250",166,348,405,331
E05003461 : Beer and Branscombe,497,132,138,147,80
E05003462 : Broadclyst,"1,359",354,457,338,210
E05003463 : Budleigh,"1,338",394,397,297,250
E05003464 : Clyst Valley,601,199,220,107,75
E05003465 : Coly Valley,"1,072",264,300,311,197
E05003466 : Dunkeswell,507,83,129,161,134
E05003467 : Exe Valley,568,185,157,130,96
E05003468 : Exmouth Brixington,"1,713",306,665,431,311
E05003469 : Exmouth Halsdon,"1,834",369,648,465,352
E05003470 : Exmouth Littleham,"1,746",408,523,375,440
E05003471 : Exmouth Town,"2,557",445,760,613,739
E05003472 : Exmouth Withycombe Raleigh,"2,135",310,661,549,615
E05008542 : Feniton and Buckerell,630,158,174,194,104
E05008543 : Honiton St Michael's,"1,998",337,571,558,532
E05003475 : Honiton St Paul's,"1,329",210,403,355,361
E05003476 : Newbridges,565,169,155,159,82
E05003477 : Newton Poppleford and Harpford,523,144,193,98,88
E05003478 : Otterhead,554,151,151,174,78
E05008544 : Ottery St Mary Rural,972,356,308,191,117
E05003480 : Ottery St Mary Town,"1,365",341,404,345,275
E05003481 : Raleigh,561,177,194,112,78
E05003482 : Seaton,"1,711",300,491,471,449
E05003483 : Sidmouth Rural,471,150,144,107,70
E05003484 : Sidmouth Sidford,"1,562",293,451,427,391
E05003485 : Sidmouth Town,"1,058",290,348,223,197
E05003486 : Tale Vale,681,203,207,175,96
E05003487 : Trinity,653,218,180,157,98
E05008545 : Whimple,659,224,201,135,99
E05003489 : Woodbury and Lympstone,"1,201",425,396,224,156
E05003490 : Yarty,578,156,156,166,100
E05003491 : Alphington,"2,854",638,984,629,603
E05003492 : Cowick,"1,526",229,473,399,425
E05003493 : Duryard,581,196,210,83,92
E05003494 : Exwick,"3,122",478,981,747,916
E05003495 : Heavitree,"1,713",495,605,299,314
E05003496 : Mincinglake,"1,783",243,535,431,574
E05003497 : Newtown,"2,144",486,853,276,529
E05003498 : Pennsylvania,"1,643",502,533,297,311
E05003499 : Pinhoe,"1,772",341,572,416,443
E05003500 : Polsloe,"2,148",478,"1,018",313,339
E05003501 : Priory,"2,889",438,695,739,"1,017"
E05003502 : St David's,"2,720",602,"1,097",310,711
E05003503 : St James,"2,034",446,"1,037",190,361
E05003504 : St Leonard's,"1,829",826,575,207,221
E05003505 : St Loyes,"2,091",539,766,423,363
E05003506 : St Thomas,"2,220",432,757,510,521
E05003507 : Topsham,"1,545",521,515,270,239
E05003508 : Whipton & Barton,"2,252",381,623,553,695
E05008546 : Boniface,"1,213",205,311,365,332
E05003510 : Bradninch,591,157,193,132,109
E05003511 : Cadbury,434,160,123,105,46
E05003512 : Canonsleigh,900,229,268,245,158
E05003513 : Castle,"1,348",236,354,353,405
E05003514 : Clare and Shuttern,942,216,243,306,177
E05003515 : Cranmore,"1,491",232,323,443,493
E05003516 : Cullompton North,"1,197",192,349,350,306
E05003517 : Cullompton Outer,565,156,175,154,80
E05003518 : Cullompton South,"1,138",151,340,321,326
E05003519 : Halberton,579,176,153,151,99
E05003520 : Lawrence,"1,140",234,303,305,298
E05003521 : Lower Culm,"1,617",326,488,420,383
E05003522 : Lowman,"2,032",347,503,611,571
E05008547 : Newbrooke,424,135,131,94,64
E05003524 : Sandford and Creedy,912,259,238,277,138
E05003525 : Silverton,544,152,161,136,95
E05003526 : Taw,470,114,128,147,81
E05003527 : Taw Vale,429,87,121,133,88
E05003528 : Upper Culm,"1,136",300,330,333,173
E05003529 : Upper Yeo,493,109,134,153,97
E05003530 : Way,436,131,98,149,58
E05003531 : Westexe,"1,476",202,348,452,474
E05008548 : Yeo,988,235,308,270,175
E05003533 : Bickington and Roundswell,"1,304",226,417,350,311
E05003534 : Bishop's Nympton,485,96,119,173,97
E05003535 : Bratton Fleming,563,135,148,165,115
E05003536 : Braunton East,"1,065",252,350,272,191
E05003537 : Braunton West,"1,085",224,316,289,256
E05003538 : Central Town,"1,775",205,475,444,651
E05003539 : Chittlehampton,580,140,147,186,107
E05003540 : Chulmleigh,569,120,135,192,122
E05003541 : Combe Martin,"1,029",188,295,297,249
E05003542 : Forches and Whiddon Valley,"1,501",163,360,418,560
E05003543 : Fremington,"1,026",177,314,306,229
E05003544 : Georgeham and Mortehoe,"1,041",271,344,249,177
E05003545 : Heanton Punchardon,619,113,262,118,126
E05003546 : Ilfracombe Central,"1,557",160,347,384,666
E05003547 : Ilfracombe East,710,110,190,197,213
E05003548 : Ilfracombe West,"1,326",199,346,361,420
E05003549 : Instow,392,102,109,119,62
"E05003550 : Landkey, Swimbridge and Taw","1,331",303,388,374,266
E05003551 : Longbridge,"1,053",193,323,292,245
E05003552 : Lynton and Lynmouth,440,67,133,148,92
E05003553 : Marwood,489,133,137,152,67
E05003554 : Newport,"1,423",273,417,366,367
E05003555 : North Molton,605,124,151,203,127
E05003556 : Pilton,"1,331",292,398,318,323
E05003557 : South Molton,"1,433",209,345,456,423
E05003558 : Witheridge,616,114,154,224,124
E05003559 : Yeo Valley,"1,315",134,308,368,505
E05003560 : Allington and Loddiswell,652,172,180,192,108
E05003561 : Avon and Harbourne,669,211,189,188,81
E05003562 : Bickleigh and Shaugh,"1,544",364,572,370,238
E05003563 : Charterlands,564,184,135,145,100
E05003564 : Cornwood and Sparkwell,698,194,195,168,141
E05003565 : Dartington,490,171,170,84,65
E05003566 : Dartmouth and Kingswear,"1,254",341,423,260,230
E05003567 : Dartmouth Townstal,729,81,167,217,264
E05003568 : East Dart,479,158,154,107,60
E05003569 : Eastmoor,641,221,179,149,92
E05003570 : Erme Valley,"1,439",484,423,330,202
E05003571 : Ivybridge Central,668,130,188,188,162
E05003572 : Ivybridge Filham,"1,529",364,528,364,273
E05003573 : Ivybridge Woodlands,"1,323",368,451,308,196
E05003574 : Kingsbridge East,510,99,125,149,137
E05003575 : Kingsbridge North,752,146,199,237,170
E05003576 : Marldon,560,148,202,134,76
E05003577 : Newton and Noss,463,210,133,72,48
E05003578 : Salcombe and Malborough,915,208,276,270,161
E05003579 : Saltstone,403,102,104,116,81
E05003580 : Skerries,457,127,156,111,63
E05003581 : South Brent,694,196,171,186,141
E05003582 : Stokenham,446,101,118,149,78
E05003583 : Thurlestone,446,132,128,118,68
E05003584 : Totnes Bridgetown,"1,013",264,261,222,266
E05003585 : Totnes Town,"1,543",431,507,261,344
E05003586 : Wembury and Brixton,"1,189",409,373,228,179
E05003587 : West Dart,556,184,164,126,82
E05003588 : Westville and Alvington,632,96,159,170,207
E05003589 : Yealmpton,550,215,147,106,82
E05008599 : Ambrook,"1,533",448,510,341,234
E05003591 : Ashburton and Buckfastleigh,"2,336",530,629,627,550
E05003592 : Bishopsteignton,693,206,243,137,107
E05003593 : Bovey,"2,102",580,642,436,444
E05003594 : Bradley,"1,446",253,445,383,365
E05003595 : Buckland and Milber,"2,014",297,536,592,589
E05003596 : Bushell,"2,325",364,699,517,745
E05003597 : Chudleigh,"1,824",529,571,404,320
E05008600 : College,"1,607",320,488,365,434
E05003599 : Dawlish Central and North East,"2,300",405,703,593,599
E05003600 : Dawlish South West,"1,302",233,382,326,361
E05003601 : Haytor,741,219,248,172,102
E05003602 : Ipplepen,648,187,196,159,106
E05003603 : Kenn Valley,"1,722",594,597,319,212
E05003604 : Kenton with Starcross,883,223,288,202,170
E05003605 : Kerswell-with-Combe,"1,567",342,504,428,293
E05003606 : Kingsteignton East,"1,805",364,597,445,399
E05003607 : Kingsteignton West,"1,491",248,459,420,364
E05003608 : Moorland,806,222,220,236,128
E05003609 : Shaldon and Stokeinteignhead,650,219,213,141,77
E05003610 : Teignbridge North,664,184,198,170,112
E05003611 : Teignmouth Central,"1,363",294,462,341,266
E05003612 : Teignmouth East,"1,384",338,416,295,335
E05003613 : Teignmouth West,"1,553",220,435,435,463
E05003614 : Teign Valley,756,273,220,169,94
E05003615 : Appledore,794,153,197,236,208
E05003616 : Bideford East,"1,874",188,452,562,672
E05003617 : Bideford North,"1,969",260,533,584,592
E05003618 : Bideford South,"1,678",171,360,549,598
E05003619 : Broadheath,433,59,86,184,104
E05003620 : Clinton,416,71,93,166,86
E05003621 : Clovelly Bay,466,62,131,177,96
E05003622 : Coham Bridge,402,80,110,137,75
E05003623 : Forest,450,81,97,168,104
E05003624 : Hartland and Bradworthy,830,129,207,347,147
E05003625 : Holsworthy,"1,090",114,270,381,325
E05003626 : Kenwith,401,84,115,124,78
E05003627 : Monkleigh and Littleham,401,81,109,131,80
E05003628 : Northam,"1,476",251,410,403,412
E05003629 : Orchard Hill,443,92,118,146,87
E05003630 : Shebbear and Langtree,520,99,145,181,95
E05003631 : Tamarside,454,78,106,174,96
E05003632 : Three Moors,436,103,112,155,66
E05003633 : Torrington,"1,684",214,383,535,552
E05003634 : Two Rivers,470,113,117,173,67
E05003635 : Waldon,441,78,123,148,92
E05003636 : Westward Ho!,638,134,179,151,174
E05003637 : Winkleigh,596,93,145,214,144
E05003638 : Bere Ferrers,873,197,229,227,220
E05003639 : Bridestowe,419,101,96,150,72
E05003640 : Buckland Monachorum,915,392,250,155,118
E05003641 : Burrator,386,133,118,79,56
E05003642 : Chagford,388,111,129,86,62
E05003643 : Drewsteignton,452,139,132,130,51
E05003644 : Exbourne,421,108,117,139,57
E05003645 : Hatherleigh,623,105,146,213,159
E05003646 : Lew Valley,507,87,111,209,100
E05003647 : Lydford,457,101,139,118,99
E05003648 : Mary Tavy,410,130,126,97,57
E05003649 : Milton Ford,447,106,120,139,82
E05003650 : North Tawton,596,93,178,160,165
E05003651 : Okehampton East,"1,275",211,324,344,396
E05003652 : Okehampton West,956,154,256,254,292
E05003653 : Tamarside,431,107,132,124,68
E05003654 : Tavistock North,"1,779",442,541,365,431
E05003655 : Tavistock South,"1,015",297,269,223,226
E05003656 : Tavistock South West,730,143,225,189,173
E05003657 : South Tawton,479,132,106,135,106
E05003658 : Thrushel,460,86,123,143,108
E05003659 : Walkham,876,243,262,225,146
E05003660 : Burton and Winkton,"1,170",244,377,319,230
E05003661 : Grange,"1,485",146,332,441,566
E05003662 : Highcliffe,581,146,224,111,100
E05003663 : Jumpers,"1,079",259,325,280,215
E05003664 : Mudeford and Friars Cliff,"1,144",357,380,218,189
E05003665 : North Highcliffe and Walkford,818,241,251,182,144
E05003666 : Portfield,"1,281",308,393,325,255
E05003667 : Purewell and Stanpit,"1,220",269,386,280,285
E05003668 : St Catherine's and Hurn,837,263,278,198,98
E05003669 : Town Centre,"1,198",320,416,230,232
E05003670 : West Highcliffe,"1,304",335,469,271,229
E05003671 : Alderholt,781,236,250,187,108
E05003672 : Ameysford,650,141,212,187,110
E05003673 : Colehill East,"1,246",385,397,296,168
E05003674 : Colehill West,579,281,178,79,41
E05003675 : Corfe Mullen Central,"1,402",359,462,378,203
E05003676 : Corfe Mullen North,685,220,228,148,89
E05003677 : Corfe Mullen South,725,213,218,184,110
E05003678 : Crane,604,168,171,157,108
E05003679 : Ferndown Central,933,226,350,185,172
E05003680 : Ferndown Links,"1,226",227,358,305,336
E05003681 : Handley Vale,708,215,191,182,120
E05003682 : Holt,576,225,156,126,69
E05003683 : Longham,650,200,241,122,87
E05003684 : Parley,"1,018",302,401,196,119
E05003685 : St Leonards and St Ives East,"1,059",357,365,196,141
E05003686 : St Leonards and St Ives West,464,169,164,78,53
E05003687 : Stapehill,567,144,182,156,85
E05003688 : Stour,724,216,217,152,139
E05003689 : Three Cross and Potterne,724,136,193,195,200
E05003690 : Verwood Dewlands,"1,245",463,393,225,164
E05003691 : Verwood Newtown,840,178,274,230,158
E05003692 : Verwood Stephen's Castle,"1,099",363,377,242,117
E05003693 : West Moors,"1,694",433,548,393,320
E05003694 : Wimborne Minster,"2,051",540,591,480,440
E05003695 : Abbey,"1,049",315,318,241,175
E05003696 : Blackmore,942,187,240,311,204
E05003697 : Blandford Damory Down,601,94,179,207,121
E05003698 : Blandford Hilltop,656,156,217,174,109
E05003699 : Blandford Langton St Leonards,523,102,140,152,129
E05003700 : Blandford Old Town,716,130,218,146,222
E05003701 : Blandford Station,705,166,201,159,179
E05003702 : Bourton and District,511,138,161,137,75
E05003703 : Bulbarrow,541,157,146,137,101
E05003704 : Cranborne Chase,569,159,177,147,86
E05003705 : Gillingham Town,864,135,193,251,285
E05003706 : Hill Forts,"1,185",350,322,305,208
E05003707 : Lodbourne,431,70,113,142,106
E05003708 : Lydden Vale,553,134,151,168,100
E05003709 : Marnhull,470,129,130,130,81
E05003710 : Milton,689,144,217,187,141
E05003711 : Motcombe and Ham,873,221,250,241,161
E05003712 : Portman,591,138,176,149,128
E05003713 : Riversdale,480,155,139,123,63
E05003714 : Shaftesbury Central,610,97,147,172,194
E05003715 : Shaftesbury Christy's,574,125,164,153,132
E05003716 : Shaftesbury Grosvenor,595,60,150,178,207
E05003717 : Shaftesbury Underhill,398,127,121,80,70
E05003718 : Stour Valley,"1,367",244,374,418,331
E05003719 : The Beacon,504,159,143,135,67
E05003720 : The Lower Tarrants,759,184,382,110,83
E05003721 : The Stours,475,128,127,147,73
E05003722 : Wyke,847,177,261,254,155
E05003723 : Bere Regis,593,124,192,155,122
E05003724 : Castle,435,119,118,125,73
E05003725 : Creech Barrow,478,151,139,130,58
E05003726 : Langton,378,115,96,97,70
E05003727 : Lytchett Matravers,"1,039",310,331,240,158
E05003728 : Lytchett Minster and Upton East,"1,273",204,388,378,303
E05003729 : Lytchett Minster and Upton West,"1,004",191,316,288,209
E05003730 : St. Martin,713,158,201,197,157
E05003731 : Swanage North,877,192,230,255,200
E05003732 : Swanage South,"1,672",308,493,452,419
E05003733 : Wareham,"1,531",289,418,428,396
E05003734 : West Purbeck,399,96,135,100,68
E05003735 : Winfrith,461,117,151,114,79
E05003736 : Wool,"1,470",267,558,351,294
E05003737 : Beaminster,"1,075",198,293,323,261
E05003738 : Bradford Abbas,480,139,120,154,67
E05003739 : Bradpole,548,89,168,156,135
E05003740 : Bridport North,"1,326",223,327,362,414
E05003741 : Bridport South and Bothenhampton,"1,650",283,482,424,461
E05003742 : Broadmayne,508,162,185,100,61
