KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05001098 : Fenham,"7,965","5,128",411,798
E05001099 : Kenton,"8,223","5,565",542,442
E05001100 : Lemington,"7,525","5,276",390,270
E05001101 : Newburn,"6,989","4,716",341,225
E05001102 : North Heaton,"7,310","5,042",244,800
E05001103 : North Jesmond,"9,887","4,673",141,"4,559"
E05001104 : Ouseburn,"10,324","5,461",386,"3,656"
E05001105 : Parklands,"7,026","5,056",192,381
E05001106 : South Heaton,"8,787","5,926",385,"1,760"
E05001107 : South Jesmond,"9,903","5,293",212,"3,781"
E05001108 : Walker,"8,190","4,748",828,399
E05001109 : Walkergate,"7,103","4,809",447,318
E05001110 : Westerhope,"6,810","4,469",190,249
E05001111 : Westgate,"8,701","4,473",483,"2,783"
E05001112 : West Gosforth,"7,208","5,103",177,494
E05001113 : Wingrove,"10,644","5,610",565,"3,046"
E05001114 : Woolsington,"7,817","5,235",468,329
E05001115 : Battle Hill,"8,198","5,769",367,284
E05001116 : Benton,"7,536","5,368",297,279
E05001117 : Camperdown,"7,704","5,512",398,213
E05001118 : Chirton,"8,606","5,758",686,353
E05001119 : Collingwood,"8,079","5,492",461,329
E05001120 : Cullercoats,"6,561","4,394",215,237
E05001121 : Howdon,"8,044","5,438",597,327
E05001122 : Killingworth,"7,266","5,311",267,253
E05001123 : Longbenton,"7,832","5,596",416,297
E05001124 : Monkseaton North,"6,639","4,872",203,291
E05001125 : Monkseaton South,"6,976","4,926",248,265
E05001126 : Northumberland,"6,279","4,549",266,232
E05001127 : Preston,"6,302","4,534",218,199
E05001128 : Riverside,"8,484","5,806",822,273
E05001129 : St Mary's,"5,905","3,833",124,208
E05001130 : Tynemouth,"7,826","5,613",254,226
E05001131 : Valley,"7,946","5,868",353,274
E05001132 : Wallsend,"7,999","5,883",543,276
E05001133 : Weetslade,"6,653","4,488",270,204
E05001134 : Whitley Bay,"7,054","5,232",299,290
E05001135 : Beacon and Bents,"6,837","4,494",551,310
E05001136 : Bede,"5,506","3,625",408,197
E05001137 : Biddick and All Saints,"6,170","3,895",569,244
E05001138 : Boldon Colliery,"6,859","4,861",399,246
E05001139 : Cleadon and East Boldon,"6,080","4,101",165,270
E05001140 : Cleadon Park,"4,973","2,957",358,234
E05001141 : Fellgate and Hedworth,"5,842","3,880",364,205
E05001142 : Harton,"6,009","3,874",384,279
E05001143 : Hebburn North,"6,641","4,762",446,293
E05001144 : Hebburn South,"5,486","3,664",312,225
E05001145 : Horsley Hill,"6,499","4,379",412,278
E05001146 : Monkton,"6,088","4,103",347,241
E05001147 : Primrose,"5,943","3,836",512,233
E05001148 : Simonside and Rekendyke,"6,565","4,159",628,298
E05001149 : Westoe,"6,102","4,294",297,319
E05001150 : West Park,"5,980","4,244",346,283
E05001151 : Whitburn and Marsden,"5,391","3,529",254,206
E05001152 : Whiteleas,"6,010","3,988",393,250
E05001153 : Barnes,"7,945","5,318",373,472
E05001154 : Castle,"7,901","5,229",538,306
E05001155 : Copt Hill,"8,268","5,417",410,336
E05001156 : Doxford,"7,572","5,371",361,340
E05001157 : Fulwell,"8,516","5,977",253,351
E05001158 : Hendon,"9,834","5,841","1,040","1,044"
E05001159 : Hetton,"8,247","4,952",418,312
E05001160 : Houghton,"8,276","5,514",380,317
E05001161 : Millfield,"9,355","5,890",543,"1,469"
E05001162 : Pallion,"7,483","4,691",633,378
E05001163 : Redhill,"8,241","5,184",702,324
E05001164 : Ryhope,"7,675","5,225",393,367
E05001165 : St Anne's,"8,104","5,306",593,337
E05001166 : St Chad's,"6,814","4,336",383,287
E05001167 : St Michael's,"8,427","5,681",422,555
E05001168 : St Peter's,"8,105","5,312",379,606
E05001169 : Sandhill,"8,149","5,014",592,390
E05001170 : Shiney Row,"9,233","6,235",454,344
E05001171 : Silksworth,"7,732","5,062",432,342
E05001172 : Southwick,"7,726","4,805",587,310
E05001173 : Washington Central,"8,409","5,759",380,302
E05001174 : Washington East,"8,220","5,679",381,343
E05001175 : Washington North,"8,345","5,686",655,302
E05001176 : Washington South,"8,085","5,828",338,295
E05001177 : Washington West,"8,890","6,155",376,349
E05001620 : Audley,"6,198","3,148",434,647
E05001621 : Bastwell,"5,167","2,715",352,517
E05001622 : Beardwood with Lammack,"4,283","2,945",91,233
E05001623 : Corporation Park,"4,904","2,967",276,393
E05001624 : Earcroft,"3,114","2,020",176,126
E05001625 : East Rural,"1,516","1,095",31,50
E05001626 : Ewood,"5,014","3,455",306,211
E05001627 : Fernhurst,"4,335","3,546",92,159
E05001628 : Higher Croft,"5,506","3,684",319,294
E05001629 : Little Harwood,"4,552","2,662",251,327
E05001630 : Livesey with Pleasington,"4,899","3,434",105,171
E05001631 : Marsh House,"4,826","3,451",168,197
E05001632 : Meadowhead,"4,160","2,719",198,172
E05001633 : Mill Hill,"4,575","3,133",324,194
E05001634 : North Turton with Tockholes,"3,362","2,458",69,123
E05001635 : Queen's Park,"4,709","2,863",307,380
E05001636 : Roe Lee,"4,355","2,972",153,216
E05001637 : Shadsworth with Whitebirk,"5,778","3,279",497,345
E05001638 : Shear Brow,"5,381","3,006",329,480
E05001639 : Sudell,"4,967","3,083",364,211
E05001640 : Sunnyhurst,"4,592","3,201",184,189
E05001641 : Wensley Fold,"5,145","2,907",421,326
E05001642 : Whitehall,"3,079","2,290",128,104
E05001643 : Anchorsholme,"4,433","2,747",148,112
E05001644 : Bispham,"4,577","3,136",200,164
E05001645 : Bloomfield,"5,453","3,394",584,256
E05001646 : Brunswick,"5,214","3,282",528,242
E05001647 : Claremont,"5,713","3,555",623,191
E05001648 : Clifton,"4,955","3,150",332,169
E05001649 : Greenlands,"4,992","3,510",229,172
E05001650 : Hawes Side,"5,160","3,399",317,196
E05001651 : Highfield,"4,649","3,109",176,147
E05001652 : Ingthorpe,"4,867","3,111",255,179
E05001653 : Layton,"4,955","3,471",266,174
E05001654 : Marton,"5,050","3,672",167,172
E05001655 : Norbreck,"4,286","2,837",117,123
E05001656 : Park,"5,280","3,163",388,262
E05001657 : Squires Gate,"4,495","3,099",196,145
E05001658 : Stanley,"4,786","3,228",169,119
E05001659 : Talbot,"5,190","3,486",453,220
E05001660 : Tyldesley,"4,862","3,234",267,217
E05001661 : Victoria,"4,884","3,125",280,213
E05001662 : Warbreck,"4,931","3,381",297,164
E05001663 : Waterloo,"5,081","3,451",345,172
E05008610 : Alderley Edge,"3,282","2,351",72,149
E05008611 : Alsager,"8,523","5,648",269,401
E05008612 : Audlem,"3,487","2,358",67,120
E05008613 : Bollington,"6,175","4,568",148,189
E05008614 : Brereton Rural,"3,718","2,693",93,132
E05008615 : Broken Cross and Upton,"6,293","4,612",214,288
E05008616 : Bunbury,"3,639","2,577",89,260
E05008617 : Chelford,"2,771","1,917",58,94
E05008618 : Congleton East,"9,784","6,773",346,351
E05008619 : Congleton West,"9,624","6,694",319,321
E05008620 : Crewe Central,"3,991","2,814",355,200
E05008621 : Crewe East,"11,378","7,522",470,975
E05008622 : Crewe North,"3,481","2,389",191,118
E05008623 : Crewe St Barnabas,"3,867","2,588",292,156
E05008624 : Crewe South,"8,683","6,278",525,574
E05008625 : Crewe West,"7,675","5,403",356,393
E05008626 : Dane Valley,"6,579","4,461",135,244
E05008627 : Disley,"3,223","2,312",67,124
E05008628 : Gawsworth,"2,846","1,903",49,123
E05008629 : Handforth,"6,653","4,763",253,225
E05008630 : Haslington,"6,025","4,232",117,253
E05008631 : High Legh,"3,254","2,292",83,92
E05008632 : Knutsford,"9,263","6,487",284,324
E05008633 : Leighton,"3,996","3,367",79,150
E05008634 : Macclesfield Central,"6,967","5,444",263,214
E05008635 : Macclesfield East,"3,271","2,410",93,104
E05008636 : Macclesfield Hurdsfield,"3,266","2,346",160,91
E05008637 : Macclesfield South,"6,224","4,455",259,220
E05008638 : Macclesfield Tytherington,"6,492","4,667",163,267
E05008639 : Macclesfield West and Ivy,"6,050","4,248",242,237
E05008640 : Middlewich,"10,070","7,432",363,358
E05008641 : Mobberley,"3,441","2,331",63,188
E05008642 : Nantwich North and West,"6,263","4,308",226,219
E05008643 : Nantwich South and Stapeley,"6,163","4,502",133,216
E05008644 : Odd Rode,"6,344","4,267",174,228
E05008645 : Poynton East and Pott Shrigley,"5,522","3,790",122,200
E05008646 : Poynton West and Adlington,"6,075","4,300",149,235
E05008647 : Prestbury,"2,990","1,865",55,167
E05008648 : Sandbach Elworth,"3,266","2,353",96,169
E05008649 : Sandbach Ettiley Heath and Wheelock,"3,284","2,480",88,143
E05008650 : Sandbach Heath and East,"3,176","2,084",111,117
E05008651 : Sandbach Town,"3,602","2,390",103,131
E05008652 : Shavington,"2,871","1,947",60,81
E05008653 : Sutton,"3,108","2,185",60,99
E05008654 : Willaston and Rope,"3,562","2,484",66,141
E05008655 : Wilmslow Dean Row,"3,392","2,583",111,157
E05008656 : Wilmslow East,"2,945","2,052",56,133
E05008657 : Wilmslow Lacey Green,"3,479","2,371",140,133
E05008658 : Wilmslow West and Chorley,"6,784","4,990",141,327
E05008659 : Wistaston,"6,888","4,767",180,240
E05008660 : Wrenbury,"3,392","2,354",61,131
E05008661 : Wybunbury,"3,856","2,846",73,139
E05008662 : Blacon,"9,914","6,658",529,384
E05008663 : Boughton,"4,391","3,332",193,202
E05008664 : Chester City,"3,175","2,191",146,285
E05008665 : Chester Villages,"6,157","4,197",117,318
E05008666 : Davenham and Moulton,"9,872","7,379",303,295
E05008667 : Dodleston and Huntington,"2,914","2,183",60,99
E05008668 : Ellesmere Port Town,"6,701","4,629",492,230
E05008669 : Elton,"3,516","2,542",95,98
E05008670 : Farndon,"2,900","2,035",58,105
E05008671 : Frodsham,"6,539","4,432",209,205
E05008672 : Garden Quarter,"4,895","3,099",135,"1,404"
E05008673 : Gowy,"2,850","1,996",84,98
E05008674 : Grange,"3,216","2,123",220,159
E05008675 : Great Boughton,"6,325","4,562",159,264
E05008676 : Handbridge Park,"6,449","4,410",177,216
E05008677 : Hartford and Greenbank,"6,098","4,329",189,257
E05008678 : Helsby,"3,586","2,581",75,139
E05008679 : Hoole,"7,136","5,448",266,321
E05008680 : Kingsley,"3,119","2,140",73,133
E05008681 : Lache,"4,280","2,989",209,169
E05008682 : Ledsham and Manor,"5,948","4,456",136,163
E05008683 : Little Neston and Burton,"6,387","4,193",163,344
E05008684 : Malpas,"2,895","2,090",82,95
E05008685 : Marbury,"9,039","6,441",298,333
E05008686 : Neston,"3,120","2,024",143,193
E05008687 : Netherpool,"2,360","1,581",111,70
E05008688 : Newton,"7,273","5,014",200,635
E05008689 : Parkgate,"2,632","1,650",51,110
E05008690 : Rossmore,"2,872","2,008",239,69
E05008691 : St Paul's,"6,540","4,487",306,245
E05008692 : Saughall and Mollington,"3,253","2,247",83,118
E05008693 : Shakerley,"3,040","2,173",86,95
E05008694 : Strawberry,"3,858","2,970",89,109
E05008695 : Sutton,"6,817","4,895",261,205
E05008696 : Tarporley,"3,199","2,197",42,104
E05008697 : Tarvin and Kelsall,"5,886","3,993",126,223
E05008698 : Tattenhall,"3,254","2,313",67,99
E05008699 : Upton,"6,091","4,258",190,249
E05008700 : Weaver and Cuddington,"9,212","6,204",360,331
E05008701 : Whitby,"5,932","4,353",150,162
E05008702 : Willaston and Thornton,"2,796","1,819",62,112
E05008703 : Winnington and Castle,"6,891","5,193",409,201
E05008704 : Winsford Over and Verdin,"9,801","6,723",540,402
E05008705 : Winsford Swanlow and Dene,"6,653","4,567",323,256
E05008706 : Winsford Wharton,"7,159","5,219",353,232
E05008707 : Witton and Rudheath,"6,214","4,455",290,210
E05001577 : Appleton,"4,940","3,377",330,186
E05001578 : Beechwood,"2,970","2,119",75,71
E05001579 : Birchfield,"5,132","4,116",130,211
E05001580 : Broadheath,"4,613","3,118",280,198
E05001581 : Halton Castle,"4,556","2,683",319,181
E05001582 : Daresbury,"3,338","2,645",85,114
E05001583 : Ditton,"5,327","3,551",289,179
E05001584 : Farnworth,"5,403","3,936",167,197
E05001585 : Grange,"4,897","3,230",353,206
E05001586 : Hale,"1,410",935,38,55
E05001587 : Halton Brook,"4,756","3,149",274,210
