KS105EW - Household composition,
ONS Crown Copyright Reserved [from Nomis on 19 December 2025],
,
population,All households
units,Households
rural urban,Total
household composition,All categories: Household composition
,
E05003125 : Ewanrigg,"1,469"
E05003126 : Flimby,749
E05003127 : Harrington,"1,337"
E05003128 : Holme,734
E05003129 : Keswick,"2,370"
E05003130 : Marsh,683
E05003131 : Moorclose,"2,246"
E05003132 : Moss Bay,"2,284"
E05003133 : Netherhall,"1,409"
E05003134 : St John's,"2,487"
E05003135 : St Michael's,"2,516"
E05003136 : Seaton,"2,201"
E05003137 : Silloth,"1,462"
E05003138 : Solway,681
E05003139 : Stainburn,702
E05003140 : Wampool,697
E05003141 : Warnell,781
E05003142 : Waver,728
E05003143 : Wharrels,663
E05003144 : Wigton,"2,515"
E05003145 : Barrow Island,"1,465"
E05003146 : Central,"2,155"
E05003147 : Dalton North,"2,553"
E05003148 : Dalton South,"2,745"
E05003149 : Hawcoat,"2,216"
E05003150 : Hindpool,"3,021"
E05003151 : Newbarns,"2,277"
E05003152 : Ormsgill,"2,772"
E05003153 : Parkside,"2,359"
E05003154 : Risedale,"2,751"
E05003155 : Roosecote,"2,050"
E05003156 : Walney North,"2,455"
E05003157 : Walney South,"2,405"
E05003158 : Belah,"2,699"
E05003159 : Belle Vue,"2,698"
E05003160 : Botcherby,"2,855"
E05003161 : Brampton,"2,105"
E05003162 : Burgh,871
E05003163 : Castle,"2,926"
E05003164 : Currock,"2,745"
E05003165 : Dalston,"2,621"
E05003166 : Denton Holme,"3,122"
E05003167 : Great Corby and Geltsdale,940
E05003168 : Harraby,"2,973"
E05003169 : Hayton,897
E05003170 : Irthing,843
E05003171 : Longtown & Rockcliffe,"1,813"
E05003172 : Lyne,816
E05003173 : Morton,"2,913"
E05003174 : St Aidans,"2,935"
E05003175 : Stanwix Rural,"1,933"
E05003176 : Stanwix Urban,"2,567"
E05003177 : Upperby,"2,461"
E05003178 : Wetheral,"2,014"
E05003179 : Yewdale,"2,595"
E05003180 : Arlecdon,660
E05003181 : Beckermet,"1,309"
E05003182 : Bootle,584
E05003183 : Bransty,"2,047"
E05003184 : Cleator Moor North,"1,804"
E05003185 : Cleator Moor South,"1,245"
E05003186 : Distington,"1,763"
E05003187 : Egremont North,"1,878"
E05003188 : Egremont South,"1,727"
E05003189 : Ennerdale,447
E05003190 : Frizington,"1,122"
E05003191 : Gosforth,644
E05003192 : Harbour,"2,100"
E05003193 : Haverigg,574
E05003194 : Hensingham,"1,857"
E05003195 : Hillcrest,"1,056"
E05003196 : Holborn Hill,"1,061"
E05003197 : Kells,"1,103"
E05003198 : Millom Without,571
E05003199 : Mirehouse,"1,823"
E05003200 : Moresby,546
E05003201 : Newtown,"1,585"
E05003202 : St Bees,737
E05003203 : Sandwith,"1,057"
E05003204 : Seascale,"1,236"
E05003205 : Alston Moor,996
E05003206 : Appleby (Appleby),651
E05003207 : Appleby (Bongate),764
E05003208 : Askham,620
E05003209 : Brough,562
E05003210 : Crosby Ravensworth,574
E05003211 : Dacre,637
E05003212 : Eamont,635
